hsa,kegg_id,drug_name,drug_concept
hsa00260,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00260,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00260,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00260,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00260,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00260,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00260,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00260,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00260,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00260,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00270,dr:D03021,Azacitidine,chemical_mesh_d001374
hsa00270,dr:D07258,Mitoguazone,chemical_mesh_d008935
hsa00330,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00330,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00330,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00330,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00330,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00330,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00330,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00330,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00330,dr:D07258,Mitoguazone,chemical_mesh_d008935
hsa00330,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00330,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00340,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00340,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00340,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00340,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00340,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00340,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00340,dr:D03158,Brocresine,chemical_mesh_d001958
hsa00340,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00340,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00340,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00340,dr:D07405,tritoqualine,chemical_mesh_c003722
hsa00340,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00350,dr:D00152,Phloroglucinol,chemical_mesh_d010696
hsa00350,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00350,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00350,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00350,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00350,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00350,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00350,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00350,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00350,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00350,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00360,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00360,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00360,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00360,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00360,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00360,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00360,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00360,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00360,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00360,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00380,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00380,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00380,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00380,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00380,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00380,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00380,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00380,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00380,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00380,dr:D08392,pirlindole,chemical_mesh_c009830
hsa00430,dr:D02755,acivicin,chemical_mesh_c006303
hsa00480,dr:D00341,Hydroxyurea,chemical_mesh_d006918
hsa00480,dr:D02755,acivicin,chemical_mesh_c006303
hsa00500,dr:D00216,Acarbose,chemical_mesh_d020909
hsa00500,dr:D09605,1-Deoxynojirimycin,chemical_mesh_d017485
hsa00564,dr:D00469,pralidoxime,chemical_mesh_c028797
hsa00564,dr:D00487,Pyridostigmine Bromide,chemical_mesh_d011729
hsa00564,dr:D00995,Neostigmine,chemical_mesh_d009388
hsa00564,dr:D01001,Ambenonium Chloride,chemical_mesh_d000549
hsa00564,dr:D01228,distigmine,chemical_mesh_c084645
hsa00564,dr:D02068,Tacrine,chemical_mesh_d013619
hsa00564,dr:D02173,Galantamine,chemical_mesh_d005702
hsa00564,dr:D02565,dimethacrine,chemical_mesh_c100110
hsa00590,dr:D00109,Aspirin,chemical_mesh_d001241
hsa00590,dr:D00118,Naproxen,chemical_mesh_d009288
hsa00590,dr:D00120,Sulindac,chemical_mesh_d013467
hsa00590,dr:D00126,Ibuprofen,chemical_mesh_d007052
hsa00590,dr:D00127,Piroxicam,chemical_mesh_d010894
hsa00590,dr:D00130,Diflunisal,chemical_mesh_d004061
hsa00590,dr:D00132,Ketoprofen,chemical_mesh_d007660
hsa00590,dr:D00141,Indomethacin,chemical_mesh_d007213
hsa00590,dr:D00151,Mefenamic Acid,chemical_mesh_d008528
hsa00590,dr:D00169,Meclofenamic Acid,chemical_mesh_d008469
hsa00590,dr:D00217,Acetaminophen,chemical_mesh_d000082
hsa00590,dr:D00315,Etodolac,chemical_mesh_d017308
hsa00590,dr:D00330,Flurbiprofen,chemical_mesh_d005480
hsa00590,dr:D00428,salicylsalicylic acid,chemical_mesh_c014182
hsa00590,dr:D00510,Phenylbutazone,chemical_mesh_d010653
hsa00590,dr:D00566,Sodium Salicylate,chemical_mesh_d012980
hsa00590,dr:D00810,choline salicylate,chemical_mesh_c015075
hsa00590,dr:D00903,Diclofenac,chemical_mesh_d004008
hsa00590,dr:D00968,Fenoprofen,chemical_mesh_d005279
hsa00590,dr:D01049,nimesulide,chemical_mesh_c012655
hsa00590,dr:D01183,tolfenamic acid,chemical_mesh_c009500
hsa00590,dr:D01252,alclofenac,chemical_mesh_c084615
hsa00590,dr:D01271,Bufexamac,chemical_mesh_d002019
hsa00590,dr:D01325,tiaprofenic acid,chemical_mesh_c021270
hsa00590,dr:D01344,fenbufen,chemical_mesh_c010725
hsa00590,dr:D01410,Benzydamine,chemical_mesh_d001591
hsa00590,dr:D01578,pyranoprofen,chemical_mesh_c043940
hsa00590,dr:D01581,Flufenamic Acid,chemical_mesh_d005439
hsa00590,dr:D01582,acemetacin,chemical_mesh_c026784
hsa00590,dr:D01675,biphenylylacetic acid,chemical_mesh_c012776
hsa00590,dr:D01683,ozagrel,chemical_mesh_c034364
hsa00590,dr:D01765,proglumetacin,chemical_mesh_c019541
hsa00590,dr:D01767,tenoxicam,chemical_mesh_c032801
hsa00590,dr:D01773,oxatomide,chemical_mesh_c015408
hsa00590,dr:D01811,salicylamide,chemical_mesh_c031060
hsa00590,dr:D02355,Tolmetin,chemical_mesh_d014046
hsa00590,dr:D02755,acivicin,chemical_mesh_c006303
hsa00590,dr:D03080,benoxaprofen,chemical_mesh_c011677
hsa00590,dr:D03661,dazmegrel,chemical_mesh_c039242
hsa00590,dr:D03663,dazoxiben,chemical_mesh_c029166
hsa00590,dr:D03882,"2,3,5-trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone",chemical_mesh_c036837
hsa00590,dr:D04102,etofenamate,chemical_mesh_c015207
hsa00590,dr:D05319,Oxyphenbutazone,chemical_mesh_d010113
hsa00590,dr:D05498,piriprost,chemical_mesh_c035296
hsa00590,dr:D07141,indobufen,chemical_mesh_c020371
hsa00590,dr:D07580,acetylsalicylic acid lysinate,chemical_mesh_c010395
hsa00590,dr:D08275,Niflumic Acid,chemical_mesh_d009544
hsa00620,dr:D00123,Cyanamide,chemical_mesh_d003484
hsa00620,dr:D00131,Disulfiram,chemical_mesh_d004221
hsa00670,dr:D00142,Methotrexate,chemical_mesh_d008727
hsa00670,dr:D00584,Fluorouracil,chemical_mesh_d005472
hsa00670,dr:D01244,Tegafur,chemical_mesh_d005641
hsa00670,dr:D01309,doxifluridine,chemical_mesh_c025034
hsa00670,dr:D01784,carmofur,chemical_mesh_c017367
hsa00670,dr:D04197,Floxuridine,chemical_mesh_d005467
hsa00670,dr:D06238,Trimetrexate,chemical_mesh_d016597
hsa00790,dr:D00142,Methotrexate,chemical_mesh_d008727
hsa00790,dr:D06238,Trimetrexate,chemical_mesh_d016597
hsa00900,dr:D00359,Lovastatin,chemical_mesh_d008148
hsa00982,dr:D00505,Phenelzine,chemical_mesh_d010624
hsa00982,dr:D00826,Tranylcypromine,chemical_mesh_d014191
hsa00982,dr:D02559,toloxatone,chemical_mesh_c010798
hsa00982,dr:D02561,Moclobemide,chemical_mesh_d020912
hsa00982,dr:D02579,Iproniazid,chemical_mesh_d007490
hsa00982,dr:D02580,Isocarboxazid,chemical_mesh_d007520
hsa00982,dr:D03248,Clorgyline,chemical_mesh_d003010
hsa00982,dr:D03409,caroxazone,chemical_mesh_c006919
hsa00982,dr:D07337,Nialamide,chemical_mesh_d009526
hsa00982,dr:D08392,pirlindole,chemical_mesh_c009830
hsa02010,dr:D00219,Acetohexamide,chemical_mesh_d000092
hsa02010,dr:D00271,Chlorpropamide,chemical_mesh_d002747
hsa02010,dr:D00335,Glipizide,chemical_mesh_d005913
hsa02010,dr:D00336,Glyburide,chemical_mesh_d005905
hsa02010,dr:D00379,Tolazamide,chemical_mesh_d014042
hsa02010,dr:D00380,Tolbutamide,chemical_mesh_d014044
hsa02010,dr:D00418,Minoxidil,chemical_mesh_d008914
hsa02010,dr:D01599,Gliclazide,chemical_mesh_d005907
hsa02010,dr:D01810,Nicorandil,chemical_mesh_d020108
hsa02010,dr:D02425,Carbutamide,chemical_mesh_d002271
hsa02010,dr:D02430,gliquidone,chemical_mesh_c010969
hsa02010,dr:D05482,Pinacidil,chemical_mesh_d020110
hsa02010,dr:D07118,glisoxepide,chemical_mesh_c100171
hsa03320,dr:D00279,Clofibrate,chemical_mesh_d002994
hsa03320,dr:D00334,Gemfibrozil,chemical_mesh_d015248
hsa03320,dr:D00565,Fenofibrate,chemical_mesh_d011345
hsa03320,dr:D01366,Bezafibrate,chemical_mesh_d001629
hsa03320,dr:D03493,ciglitazone,chemical_mesh_c039671
hsa03320,dr:D03521,ciprofibrate,chemical_mesh_c019304
hsa03320,dr:D04411,Halofenate,chemical_mesh_d006218
hsa03320,dr:D06102,etofylline clofibrate,chemical_mesh_c028764
hsa03320,dr:D07187,etofibrate,chemical_mesh_c009746
hsa04010,dr:D00184,Cyclosporine,chemical_mesh_d016572
hsa04010,dr:D00404,methsuximide,chemical_mesh_c100286
hsa04010,dr:D00539,Ethosuximide,chemical_mesh_d005013
hsa04010,dr:D00619,Verapamil,chemical_mesh_d014700
hsa04010,dr:D00631,Bepridil,chemical_mesh_d015764
hsa04010,dr:D02630,Penfluridol,chemical_mesh_d010395
hsa04010,dr:D04862,Masoprocol,chemical_mesh_d009637
hsa04010,dr:D06129,Tiapamil Hydrochloride,chemical_mesh_d013976
hsa04012,dr:D04862,Masoprocol,chemical_mesh_d009637
hsa04020,dr:D00059,Levodopa,chemical_mesh_d007980
hsa04020,dr:D00076,Norepinephrine,chemical_mesh_d009638
hsa04020,dr:D00081,Dinoprost,chemical_mesh_d015237
hsa04020,dr:D00095,Epinephrine,chemical_mesh_d004837
hsa04020,dr:D00113,Atropine,chemical_mesh_d001285
hsa04020,dr:D00124,Ephedrine,chemical_mesh_d004809
hsa04020,dr:D00147,Hyoscyamine,chemical_mesh_d064692
hsa04020,dr:D00180,Alprostadil,chemical_mesh_d000527
hsa04020,dr:D00193,dexpanthenol,chemical_mesh_c007288
hsa04020,dr:D00227,Aminophylline,chemical_mesh_d000628
hsa04020,dr:D00274,Cisapride,chemical_mesh_d020117
hsa04020,dr:D00295,Cimetidine,chemical_mesh_d002927
hsa04020,dr:D00300,Diphenhydramine,chemical_mesh_d004155
hsa04020,dr:D00304,Valproic Acid,chemical_mesh_d014635
hsa04020,dr:D00318,Famotidine,chemical_mesh_d015738
hsa04020,dr:D00319,Felodipine,chemical_mesh_d015736
hsa04020,dr:D00371,Theophylline,chemical_mesh_d013806
hsa04020,dr:D00378,Timolol,chemical_mesh_d013999
hsa04020,dr:D00397,Tropicamide,chemical_mesh_d014331
hsa04020,dr:D00404,methsuximide,chemical_mesh_c100286
hsa04020,dr:D00422,Ranitidine,chemical_mesh_d011899
hsa04020,dr:D00432,Nadolol,chemical_mesh_d009248
hsa04020,dr:D00437,Nifedipine,chemical_mesh_d009543
hsa04020,dr:D00438,Nimodipine,chemical_mesh_d009553
hsa04020,dr:D00465,oxybutynin,chemical_mesh_c005419
hsa04020,dr:D00480,Promethazine,chemical_mesh_d011398
hsa04020,dr:D00481,Propantheline,chemical_mesh_d011413
hsa04020,dr:D00511,Phenylephrine,chemical_mesh_d010656
hsa04020,dr:D00520,Dimenhydrinate,chemical_mesh_d004111
hsa04020,dr:D00528,Caffeine,chemical_mesh_d002110
hsa04020,dr:D00539,Ethosuximide,chemical_mesh_d005013
hsa04020,dr:D00540,Glycopyrrolate,chemical_mesh_d006024
hsa04020,dr:D00598,Betaxolol,chemical_mesh_d015784
hsa04020,dr:D00599,Carteolol,chemical_mesh_d002354
hsa04020,dr:D00600,Labetalol,chemical_mesh_d007741
hsa04020,dr:D00602,Penbutolol,chemical_mesh_d010394
hsa04020,dr:D00607,guanadrel,chemical_mesh_c004945
hsa04020,dr:D00613,Fenoldopam,chemical_mesh_d018818
hsa04020,dr:D00617,Nicardipine,chemical_mesh_d009529
hsa04020,dr:D00618,Nisoldipine,chemical_mesh_d015737
hsa04020,dr:D00619,Verapamil,chemical_mesh_d014700
hsa04020,dr:D00629,Nitrendipine,chemical_mesh_d009568
hsa04020,dr:D00631,Bepridil,chemical_mesh_d015764
hsa04020,dr:D00632,Dobutamine,chemical_mesh_d004280
hsa04020,dr:D00633,Dopamine,chemical_mesh_d004298
hsa04020,dr:D00634,Bisoprolol,chemical_mesh_d017298
hsa04020,dr:D00636,Amiodarone,chemical_mesh_d000638
hsa04020,dr:D00659,azelastine,chemical_mesh_c020976
hsa04020,dr:D00672,Hydroxyzine,chemical_mesh_d006919
hsa04020,dr:D00680,Methylergonovine,chemical_mesh_d008755
hsa04020,dr:D00683,Albuterol,chemical_mesh_d000420
hsa04020,dr:D00684,bitolterol,chemical_mesh_c011685
hsa04020,dr:D00685,Metaproterenol,chemical_mesh_d009921
hsa04020,dr:D00686,pirbuterol,chemical_mesh_c009118
hsa04020,dr:D00688,Terbutaline,chemical_mesh_d013726
hsa04020,dr:D00711,Ketamine,chemical_mesh_d007649
hsa04020,dr:D00717,Dicyclomine,chemical_mesh_d004025
hsa04020,dr:D00774,Orphenadrine,chemical_mesh_d009966
hsa04020,dr:D00999,Acetylcholine,chemical_mesh_d000109
hsa04020,dr:D01005,isopropamide iodide,chemical_mesh_c084831
hsa04020,dr:D01007,propiverine,chemical_mesh_c015586
hsa04020,dr:D01019,Metaraminol,chemical_mesh_d008680
hsa04020,dr:D01020,Methoxamine,chemical_mesh_d008729
hsa04020,dr:D01025,Levobunolol,chemical_mesh_d002040
hsa04020,dr:D01026,Sotalol,chemical_mesh_d013015
hsa04020,dr:D01077,methylatropine,chemical_mesh_c006649
hsa04020,dr:D01151,"1,4-dihydropyridine",chemical_mesh_c038806
hsa04020,dr:D01163,Ergonovine,chemical_mesh_d004874
hsa04020,dr:D01174,Pheniramine,chemical_mesh_d010632
hsa04020,dr:D01238,Bucladesine,chemical_mesh_d003994
hsa04020,dr:D01263,Ritodrine,chemical_mesh_d012312
hsa04020,dr:D01295,Cinnarizine,chemical_mesh_d002936
hsa04020,dr:D01297,Pirenzepine,chemical_mesh_d010890
hsa04020,dr:D01303,Flunarizine,chemical_mesh_d005444
hsa04020,dr:D01307,Midodrine,chemical_mesh_d008879
hsa04020,dr:D01324,mequitazine,chemical_mesh_c006069
hsa04020,dr:D01343,Dimethindene,chemical_mesh_d004115
hsa04020,dr:D01347,tramazoline,chemical_mesh_c005370
hsa04020,dr:D01352,dinoprost tromethamine,chemical_mesh_c010714
hsa04020,dr:D01360,Clenbuterol,chemical_mesh_d002976
hsa04020,dr:D01362,tulobuterol,chemical_mesh_c010809
hsa04020,dr:D01369,bevantolol,chemical_mesh_c021148
hsa04020,dr:D01377,pyrodifenium bromide,chemical_mesh_c084641
hsa04020,dr:D01390,Isoproterenol,chemical_mesh_d007545
hsa04020,dr:D01428,Fenoterol,chemical_mesh_d005280
hsa04020,dr:D01444,bunitrolol,chemical_mesh_c084811
hsa04020,dr:D01454,Bupranolol,chemical_mesh_d002046
hsa04020,dr:D01469,amosulalol,chemical_mesh_c032473
hsa04020,dr:D01504,bufetolol,chemical_mesh_c100228
hsa04020,dr:D01512,befunolol,chemical_mesh_c006034
hsa04020,dr:D01573,Etilefrine,chemical_mesh_d005039
hsa04020,dr:D01592,Betahistine,chemical_mesh_d001621
hsa04020,dr:D01635,methoxyphenamine,chemical_mesh_c005157
hsa04020,dr:D01691,nipradilol,chemical_mesh_c036089
hsa04020,dr:D01697,Colforsin,chemical_mesh_d005576
hsa04020,dr:D01771,proxyphylline,chemical_mesh_c003237
hsa04020,dr:D01794,bopindolol,chemical_mesh_c036007
hsa04020,dr:D01830,arotinolol,chemical_mesh_c024523
hsa04020,dr:D01887,bunazosin,chemical_mesh_c018176
hsa04020,dr:D01902,fonazine,chemical_mesh_c100113
hsa04020,dr:D01908,nilvadipine,chemical_mesh_c035100
hsa04020,dr:D01969,Gallopamil,chemical_mesh_d005711
hsa04020,dr:D01978,Tretoquinol,chemical_mesh_d014213
hsa04020,dr:D02017,cholinophyllin,chemical_mesh_c012839
hsa04020,dr:D02073,gemeprost,chemical_mesh_c021182
hsa04020,dr:D02091,Tripelennamine,chemical_mesh_d014309
hsa04020,dr:D02218,Papaverine,chemical_mesh_d010208
hsa04020,dr:D02343,Carboprost,chemical_mesh_d002260
hsa04020,dr:D02363,Ketanserin,chemical_mesh_d007650
hsa04020,dr:D02374,Metipranolol,chemical_mesh_d014290
hsa04020,dr:D02396,Hexoprenaline,chemical_mesh_d006594
hsa04020,dr:D02404,Procaterol,chemical_mesh_d017265
hsa04020,dr:D02614,denopamine,chemical_mesh_c037293
hsa04020,dr:D02630,Penfluridol,chemical_mesh_d010395
hsa04020,dr:D02641,Butaclamol,chemical_mesh_d002069
hsa04020,dr:D02939,Angiotensin Amide,chemical_mesh_d000802
hsa04020,dr:D02950,Antazoline,chemical_mesh_d000865
hsa04020,dr:D03198,Butoxamine,chemical_mesh_d002078
hsa04020,dr:D03655,darodipine,chemical_mesh_c034600
hsa04020,dr:D04488,ibopamine,chemical_mesh_c023487
hsa04020,dr:D04625,Isoetharine,chemical_mesh_d007528
hsa04020,dr:D04868,mebeverine,chemical_mesh_c005096
hsa04020,dr:D04970,Methacholine Chloride,chemical_mesh_d016210
hsa04020,dr:D05442,perhexiline maleate,chemical_mesh_c023470
hsa04020,dr:D05479,pimagedine,chemical_mesh_c004479
hsa04020,dr:D05660,Pyrilamine,chemical_mesh_d011738
hsa04020,dr:D05718,reproterol,chemical_mesh_c014792
hsa04020,dr:D06129,Tiapamil Hydrochloride,chemical_mesh_d013976
hsa04020,dr:D06877,Oxyphenonium,chemical_mesh_d010115
hsa04020,dr:D07078,rociverine,chemical_mesh_c021082
hsa04020,dr:D07083,octylonium,chemical_mesh_c013934
hsa04020,dr:D07094,pinaverium,chemical_mesh_c013199
hsa04020,dr:D07181,mepindolol,chemical_mesh_c015340
hsa04020,dr:D07183,tobanum,chemical_mesh_c025725
hsa04020,dr:D07185,Fendiline,chemical_mesh_d005275
hsa04020,dr:D07195,chloropyramine,chemical_mesh_c004664
hsa04020,dr:D07906,Ergotamine,chemical_mesh_d004878
hsa04020,dr:D08040,Histamine,chemical_mesh_d006632
hsa04020,dr:D08078,indenolol,chemical_mesh_c002989
hsa04020,dr:D08340,Perhexiline,chemical_mesh_d010480
hsa04022,dr:D00095,Epinephrine,chemical_mesh_d004837
hsa04022,dr:D00227,Aminophylline,chemical_mesh_d000628
hsa04022,dr:D00231,Amrinone,chemical_mesh_d000676
hsa04022,dr:D00281,Clonidine,chemical_mesh_d003000
hsa04022,dr:D00302,Dipyridamole,chemical_mesh_d004176
hsa04022,dr:D00371,Theophylline,chemical_mesh_d013806
hsa04022,dr:D00378,Timolol,chemical_mesh_d013999
hsa04022,dr:D00405,Methyldopa,chemical_mesh_d008750
hsa04022,dr:D00417,Milrinone,chemical_mesh_d020105
hsa04022,dr:D00432,Nadolol,chemical_mesh_d009248
hsa04022,dr:D00598,Betaxolol,chemical_mesh_d015784
hsa04022,dr:D00599,Carteolol,chemical_mesh_d002354
hsa04022,dr:D00600,Labetalol,chemical_mesh_d007741
hsa04022,dr:D00606,Guanfacine,chemical_mesh_d016316
hsa04022,dr:D00610,Terazosin,chemical_mesh_c041226
hsa04022,dr:D00631,Bepridil,chemical_mesh_d015764
hsa04022,dr:D00632,Dobutamine,chemical_mesh_d004280
hsa04022,dr:D00634,Bisoprolol,chemical_mesh_d017298
hsa04022,dr:D00636,Amiodarone,chemical_mesh_d000638
hsa04022,dr:D00680,Methylergonovine,chemical_mesh_d008755
hsa04022,dr:D01163,Ergonovine,chemical_mesh_d004874
hsa04022,dr:D01220,Trapidil,chemical_mesh_d014192
hsa04022,dr:D01238,Bucladesine,chemical_mesh_d003994
hsa04022,dr:D01385,ibudilast,chemical_mesh_c038366
hsa04022,dr:D01469,amosulalol,chemical_mesh_c032473
hsa04022,dr:D01573,Etilefrine,chemical_mesh_d005039
hsa04022,dr:D01691,nipradilol,chemical_mesh_c036089
hsa04022,dr:D01771,proxyphylline,chemical_mesh_c003237
hsa04022,dr:D01810,Nicorandil,chemical_mesh_d020108
hsa04022,dr:D01830,arotinolol,chemical_mesh_c024523
hsa04022,dr:D02017,cholinophyllin,chemical_mesh_c012839
hsa04022,dr:D02218,Papaverine,chemical_mesh_d010208
hsa04022,dr:D03051,bamifylline,chemical_mesh_c006683
hsa04022,dr:D03177,Bunolol,chemical_mesh_d064805
hsa04022,dr:D04004,Enoximone,chemical_mesh_d017335
hsa04022,dr:D04628,sulmazole,chemical_mesh_c029758
hsa04022,dr:D05514,piroximone,chemical_mesh_c039686
hsa04022,dr:D06671,Yohimbine,chemical_mesh_d015016
hsa04022,dr:D07181,mepindolol,chemical_mesh_c015340
hsa04022,dr:D07906,Ergotamine,chemical_mesh_d004878
hsa04022,dr:D08078,indenolol,chemical_mesh_c002989
hsa04024,dr:D00095,Epinephrine,chemical_mesh_d004837
hsa04024,dr:D00138,Scopolamine,chemical_mesh_d012601
hsa04024,dr:D00227,Aminophylline,chemical_mesh_d000628
hsa04024,dr:D00231,Amrinone,chemical_mesh_d000676
hsa04024,dr:D00241,Baclofen,chemical_mesh_d001418
hsa04024,dr:D00302,Dipyridamole,chemical_mesh_d004176
hsa04024,dr:D00371,Theophylline,chemical_mesh_d013806
hsa04024,dr:D00378,Timolol,chemical_mesh_d013999
hsa04024,dr:D00417,Milrinone,chemical_mesh_d020105
hsa04024,dr:D00419,Misoprostol,chemical_mesh_d016595
hsa04024,dr:D00432,Nadolol,chemical_mesh_d009248
hsa04024,dr:D00442,Octreotide,chemical_mesh_d015282
hsa04024,dr:D00481,Propantheline,chemical_mesh_d011413
hsa04024,dr:D00528,Caffeine,chemical_mesh_d002110
hsa04024,dr:D00598,Betaxolol,chemical_mesh_d015784
hsa04024,dr:D00599,Carteolol,chemical_mesh_d002354
hsa04024,dr:D00600,Labetalol,chemical_mesh_d007741
hsa04024,dr:D00616,Diltiazem,chemical_mesh_d004110
