query_cpt,query_name,query_year,Ly_ans_cpts,Ly_ans_names,Ly_ans_years,Ly_rel_years,Uy_ans_cpts,Uy_ans_names,Uy_ans_years,Uy_rel_years
chemical_mesh_d002996,Clomiphene,1960,['gene_2099'],['ESR1'],[1967],[1971],[],[],[],[]
chemical_mesh_d002230,Carbidopa,1970,['gene_1644'],['DDC'],[1947],[1971],[],[],[],[]
chemical_mesh_d013866,Thioguanine,1955,['gene_3251'],['HPRT1'],[1967],[1972],[],[],[],[]
chemical_mesh_d014148,Tranexamic Acid,1964,['gene_5340'],['PLG'],[1946],[1972],[],[],[],[]
chemical_mesh_d004997,Ethinyl Estradiol,1946,['gene_2099'],['ESR1'],[1967],[1973],[],[],[],[]
chemical_mesh_d008656,Mestranol,1963,['gene_2099'],['ESR1'],[1967],[1973],[],[],[],[]
chemical_mesh_d011374,Progesterone,1936,['gene_5241'],['PGR'],[1947],[1973],[],[],[],[]
chemical_mesh_d002715,Chlormadinone Acetate,1955,['gene_5241'],['PGR'],[1947],[1973],[],[],[],[]
chemical_mesh_d013806,Theophylline,1907,['gene_5140'],['PDE3B'],[1966],[1974],[],[],[],[]
chemical_mesh_d010208,Papaverine,1937,['gene_5140'],['PDE3B'],[1966],[1975],[],[],[],[]
chemical_mesh_d003687,Dehydroepiandrosterone,1946,['gene_2099'],['ESR1'],[1967],[1975],[],[],[],[]
chemical_mesh_d004970,Estrone,1934,['gene_2099'],['ESR1'],[1967],[1975],['gene_2100'],['ESR2'],[1915],[2004]
chemical_mesh_d004054,Diethylstilbestrol,1939,['gene_2099'],['ESR1'],[1967],[1975],['gene_2100'],['ESR2'],[1915],[2004]
chemical_mesh_d013619,Tacrine,1961,['gene_43'],['ACHE'],[1941],[1975],[],[],[],[]
chemical_mesh_d009640,Norethindrone,1957,['gene_5241'],['PGR'],[1947],[1975],[],[],[],[]
chemical_mesh_d000086,Acetazolamide,1952,['gene_760'],['CA2'],[1952],[1975],"['gene_763', 'gene_759']","['CA5A', 'CA1']","[1830, 1953]","[1976, 1982]"
chemical_mesh_d004837,Epinephrine,1903,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1985]
chemical_mesh_d009256,Nafoxidine,1968,[],[],[],[],['gene_2099'],['ESR1'],[1967],[1976]
chemical_mesh_d015122,Mercaptopurine,1953,[],[],[],[],['gene_3251'],['HPRT1'],[1967],[1977]
chemical_mesh_d008234,Lynestrenol,1961,[],[],[],[],['gene_5241'],['PGR'],[1947],[1977]
chemical_mesh_d005040,Ethynodiol Diacetate,1962,[],[],[],[],['gene_5241'],['PGR'],[1947],[1977]
chemical_mesh_d006589,Hexestrol,1945,[],[],[],[],['gene_2099'],['ESR1'],[1967],[1977]
chemical_mesh_d004964,Estriol,1934,[],[],[],[],"['gene_2099', 'gene_2100']","['ESR1', 'ESR2']","[1967, 1915]","[1977, 2021]"
chemical_mesh_d009768,Obidoxime Chloride,1964,[],[],[],[],['gene_43'],['ACHE'],[1941],[1978]
chemical_mesh_d017258,Medroxyprogesterone Acetate,1958,[],[],[],[],['gene_5241'],['PGR'],[1947],[1978]
chemical_mesh_d016912,Levonorgestrel,1970,[],[],[],[],['gene_5241'],['PGR'],[1947],[1979]
chemical_mesh_d004394,Dydrogesterone,1961,[],[],[],[],['gene_5241'],['PGR'],[1947],[1979]
chemical_mesh_d019326,17-alpha-Hydroxyprogesterone,1949,[],[],[],[],['gene_5241'],['PGR'],[1947],[1979]
chemical_mesh_d019290,Megestrol Acetate,1964,[],[],[],[],['gene_5241'],['PGR'],[1947],[1980]
chemical_mesh_c031927,hydroquinone,1919,[],[],[],[],['gene_7299'],['TYR'],[1906],[1980]
chemical_mesh_d011729,Pyridostigmine Bromide,1953,[],[],[],[],['gene_43'],['ACHE'],[1941],[1980]
chemical_mesh_c009341,estriol succinate,1961,[],[],[],[],['gene_2099'],['ESR1'],[1967],[1980]
chemical_mesh_d003613,Danazol,1950,[],[],[],[],"['gene_2099', 'gene_5241']","['ESR1', 'PGR']","[1967, 1947]","[1981, 1983]"
chemical_mesh_d003994,Bucladesine,1968,[],[],[],[],['gene_5140'],['PDE3B'],[1966],[1982]
chemical_mesh_d010656,Phenylephrine,1944,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1983]
chemical_mesh_d011224,Prazosin,1970,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1983]
chemical_mesh_d010646,Phentolamine,1950,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1983]
chemical_mesh_c004955,fosfestrol,1955,[],[],[],[],['gene_2099'],['ESR1'],[1967],[1983]
chemical_mesh_c015668,4-aminomethylbenzoic acid,1964,[],[],[],[],['gene_5340'],['PLG'],[1946],[1984]
chemical_mesh_d005641,Tegafur,1971,[],[],[],[],['gene_7298'],['TYMS'],[1960],[1984]
chemical_mesh_c017296,estrone sulfate,1945,[],[],[],[],"['gene_2099', 'gene_2100']","['ESR1', 'ESR2']","[1967, 1915]","[1984, 2017]"
chemical_mesh_d008525,Medroxyprogesterone,1960,[],[],[],[],['gene_5241'],['PGR'],[1947],[1984]
chemical_mesh_d008729,Methoxamine,1949,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1985]
chemical_mesh_d000500,Allylestrenol,1960,[],[],[],[],['gene_5241'],['PGR'],[1947],[1985]
chemical_mesh_d014043,Tolazoline,1945,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1987]
chemical_mesh_d000628,Aminophylline,1925,[],[],[],[],['gene_5140'],['PDE3B'],[1966],[1987]
chemical_mesh_d002110,Caffeine,1860,[],[],[],[],['gene_5140'],['PDE3B'],[1966],[1988]
chemical_mesh_d009641,Norethynodrel,1957,[],[],[],[],['gene_5241'],['PGR'],[1947],[1990]
chemical_mesh_d010117,Oxypurinol,1966,[],[],[],[],['gene_7498'],['XDH'],[1950],[1991]
chemical_mesh_d007217,Indoramin,1970,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1992]
chemical_mesh_c084645,distigmine,1958,[],[],[],[],['gene_43'],['ACHE'],[1941],[1993]
chemical_mesh_c074283,estradiol 3-benzoate,1937,[],[],[],[],['gene_2099'],['ESR1'],[1967],[1997]
chemical_mesh_d004005,Dichlorphenamide,1957,[],[],[],[],"['gene_759', 'gene_760']","['CA1', 'CA2']","[1953, 1952]","[1997, 1997]"
chemical_mesh_d010643,Phenoxybenzamine,1953,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1998]
chemical_mesh_d009278,Naphazoline,1947,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[1999]
chemical_mesh_d004028,Dienestrol,1944,[],[],[],[],['gene_2099'],['ESR1'],[1967],[2004]
chemical_mesh_d011800,Quinestrol,1966,[],[],[],[],['gene_2099'],['ESR1'],[1967],[2006]
chemical_mesh_d009530,Nicergoline,1971,[],[],[],[],['gene_146'],['ADRA1D'],[1963],[2014]
