hsa,kegg_id,drug_name,drug_concept,year
hsa00130,dr:D08354,Phenindione,chemical_mesh_d010630,1950
hsa00130,dr:D09676,tecarfarin,chemical_mesh_c547288,2008
hsa00140,dr:D00152,Phloroglucinol,chemical_mesh_d010696,1930
hsa00140,dr:D00153,Testolactone,chemical_mesh_d013738,1960
hsa00140,dr:D00156,Glycyrrhetinic Acid,chemical_mesh_d006034,1953
hsa00140,dr:D00321,Finasteride,chemical_mesh_d018120,1989
hsa00140,dr:D00410,Metyrapone,chemical_mesh_d008797,1959
hsa00140,dr:D00420,Mitotane,chemical_mesh_d008939,1961
hsa00140,dr:D00574,Aminoglutethimide,chemical_mesh_d000616,1959
hsa00140,dr:D00963,exemestane,chemical_mesh_c056516,1988
hsa00140,dr:D01134,epristeride,chemical_mesh_c072547,1992
hsa00140,dr:D01180,trilostane,chemical_mesh_c009954,1978
hsa00140,dr:D01259,flopropione,chemical_mesh_c014870,1964
hsa00140,dr:D01899,Carbenoxolone,chemical_mesh_d002229,1960
hsa00140,dr:D02028,Glycyrrhizic Acid,chemical_mesh_d019695,1951
hsa00140,dr:D02451,Fadrozole,chemical_mesh_d017316,1987
hsa00140,dr:D03749,plomestane,chemical_mesh_c033071,1981
hsa00140,dr:D03781,liarozole,chemical_mesh_c061121,1990
hsa00140,dr:D03786,vorozole,chemical_mesh_c060523,1989
hsa00140,dr:D04498,phenoxodiol,chemical_mesh_c471183,2003
hsa00140,dr:D05746,rogletimide,chemical_mesh_c049837,1986
hsa00140,dr:D07121,alfatradiol,chemical_mesh_c519808,1955
hsa00140,dr:D07260,formestane,chemical_mesh_c014594,1977
hsa00140,dr:D10950,Ketoconazole,chemical_mesh_d007654,1978
hsa00230,dr:D00155,Pentostatin,chemical_mesh_d015649,1976
hsa00230,dr:D00161,Mercaptopurine,chemical_mesh_d015122,1953
hsa00230,dr:D00224,Allopurinol,chemical_mesh_d000493,1964
hsa00230,dr:D00231,Amrinone,chemical_mesh_d000676,1978
hsa00230,dr:D00341,Hydroxyurea,chemical_mesh_d006918,1963
hsa00230,dr:D00417,Milrinone,chemical_mesh_d020105,1983
hsa00230,dr:D00752,Mycophenolic Acid,chemical_mesh_d009173,1933
hsa00230,dr:D01370,Cladribine,chemical_mesh_d017338,1961
hsa00230,dr:D01392,mizoribine,chemical_mesh_c010052,1974
hsa00230,dr:D01907,fludarabine phosphate,chemical_mesh_c042382,1983
hsa00230,dr:D02365,Oxypurinol,chemical_mesh_d010117,1966
hsa00230,dr:D02933,anagrelide,chemical_mesh_c021139,1979
hsa00230,dr:D03378,caracemide,chemical_mesh_c044466,1984
hsa00230,dr:D04004,Enoximone,chemical_mesh_d017335,1982
hsa00230,dr:D04245,forodesine,chemical_mesh_c113101,1998
hsa00230,dr:D04508,imazodan,chemical_mesh_c042527,1984
hsa00230,dr:D04529,indolidan,chemical_mesh_c050325,1986
hsa00230,dr:D04628,sulmazole,chemical_mesh_c029758,1981
hsa00230,dr:D04751,lixazinone,chemical_mesh_c049443,1986
hsa00230,dr:D06100,tezacitabine,chemical_mesh_c086432,1994
hsa00230,dr:D06130,tiazofurin,chemical_mesh_c033706,1981
hsa00230,dr:D07278,tisopurine,chemical_mesh_c005832,1968
hsa00230,dr:D07966,fludarabine,chemical_mesh_c024352,1977
hsa00230,dr:D08294,olprinone,chemical_mesh_c059498,1989
hsa00230,dr:D08603,Thioguanine,chemical_mesh_d013866,1955
hsa00230,dr:D09786,FYX-051,chemical_mesh_c504882,2005
hsa00232,dr:D09786,FYX-051,chemical_mesh_c504882,2005
hsa00240,dr:D00341,Hydroxyurea,chemical_mesh_d006918,1963
hsa00240,dr:D00584,Fluorouracil,chemical_mesh_d005472,1957
hsa00240,dr:D01064,raltitrexed,chemical_mesh_c068874,1987
hsa00240,dr:D01244,Tegafur,chemical_mesh_d005641,1971
hsa00240,dr:D01309,doxifluridine,chemical_mesh_c025034,1978
hsa00240,dr:D01370,Cladribine,chemical_mesh_d017338,1961
hsa00240,dr:D01784,carmofur,chemical_mesh_c017367,1976
hsa00240,dr:D01846,gimeracil,chemical_mesh_c104201,1987
hsa00240,dr:D01907,fludarabine phosphate,chemical_mesh_c042382,1983
hsa00240,dr:D03154,brequinar,chemical_mesh_c046943,1985
hsa00240,dr:D03378,caracemide,chemical_mesh_c044466,1984
hsa00240,dr:D04197,Floxuridine,chemical_mesh_d005467,1959
hsa00240,dr:D04245,forodesine,chemical_mesh_c113101,1998
hsa00240,dr:D04964,AG 331,chemical_mesh_c087748,1994
hsa00240,dr:D06100,tezacitabine,chemical_mesh_c086432,1994
hsa00240,dr:D07966,fludarabine,chemical_mesh_c024352,1977
hsa00240,dr:D10172,teriflunomide,chemical_mesh_c527525,2004
hsa00240,dr:D10803,ZD 9331,chemical_mesh_c094299,1994
hsa00260,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00260,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00260,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00260,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00260,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00260,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00260,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00260,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00260,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00260,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00260,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00260,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00270,dr:D03021,Azacitidine,chemical_mesh_d001374,1964
hsa00270,dr:D07258,Mitoguazone,chemical_mesh_d008935,1955
hsa00330,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00330,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00330,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00330,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00330,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00330,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00330,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00330,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00330,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00330,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00330,dr:D04793,lufironil,chemical_mesh_c074630,1991
hsa00330,dr:D07258,Mitoguazone,chemical_mesh_d008935,1955
hsa00330,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00330,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00340,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00340,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00340,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00340,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00340,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00340,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00340,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00340,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00340,dr:D03158,Brocresine,chemical_mesh_d001958,1967
hsa00340,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00340,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00340,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00340,dr:D07405,tritoqualine,chemical_mesh_c003722,1964
hsa00340,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00350,dr:D00152,Phloroglucinol,chemical_mesh_d010696,1930
hsa00350,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00350,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00350,dr:D01259,flopropione,chemical_mesh_c014870,1964
hsa00350,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00350,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00350,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00350,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00350,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00350,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00350,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00350,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00350,dr:D05177,nitisinone,chemical_mesh_c077073,1992
hsa00350,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00350,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00360,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00360,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00360,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00360,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00360,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00360,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00360,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00360,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00360,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00360,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00360,dr:D05177,nitisinone,chemical_mesh_c077073,1992
hsa00360,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00360,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00380,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00380,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00380,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00380,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00380,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00380,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00380,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00380,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00380,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00380,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00380,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00380,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00430,dr:D02755,acivicin,chemical_mesh_c006303,1973
hsa00480,dr:D00341,Hydroxyurea,chemical_mesh_d006918,1963
hsa00480,dr:D02755,acivicin,chemical_mesh_c006303,1973
hsa00500,dr:D00216,Acarbose,chemical_mesh_d020909,1979
hsa00500,dr:D00625,miglitol,chemical_mesh_c045621,1985
hsa00500,dr:D01665,voglibose,chemical_mesh_c102817,1995
hsa00500,dr:D09605,1-Deoxynojirimycin,chemical_mesh_d017485,1981
hsa00564,dr:D00469,pralidoxime,chemical_mesh_c028797,1950
hsa00564,dr:D00487,Pyridostigmine Bromide,chemical_mesh_d011729,1953
hsa00564,dr:D00995,Neostigmine,chemical_mesh_d009388,1935
hsa00564,dr:D01001,Ambenonium Chloride,chemical_mesh_d000549,1955
hsa00564,dr:D01228,distigmine,chemical_mesh_c084645,1958
hsa00564,dr:D02068,Tacrine,chemical_mesh_d013619,1961
hsa00564,dr:D02173,Galantamine,chemical_mesh_d005702,1953
hsa00564,dr:D02565,dimethacrine,chemical_mesh_c100110,1966
hsa00565,dr:D03650,darapladib,chemical_mesh_c529040,2008
hsa00565,dr:D08221,varespladib methyl,chemical_mesh_c545088,1996
hsa00590,dr:D00109,Aspirin,chemical_mesh_d001241,1885
hsa00590,dr:D00118,Naproxen,chemical_mesh_d009288,1971
hsa00590,dr:D00120,Sulindac,chemical_mesh_d013467,1967
hsa00590,dr:D00126,Ibuprofen,chemical_mesh_d007052,1961
hsa00590,dr:D00127,Piroxicam,chemical_mesh_d010894,1976
hsa00590,dr:D00130,Diflunisal,chemical_mesh_d004061,1975
hsa00590,dr:D00132,Ketoprofen,chemical_mesh_d007660,1973
hsa00590,dr:D00141,Indomethacin,chemical_mesh_d007213,1885
hsa00590,dr:D00151,Mefenamic Acid,chemical_mesh_d008528,1962
hsa00590,dr:D00169,Meclofenamic Acid,chemical_mesh_d008469,1965
hsa00590,dr:D00217,Acetaminophen,chemical_mesh_d000082,1948
hsa00590,dr:D00315,Etodolac,chemical_mesh_d017308,1957
hsa00590,dr:D00330,Flurbiprofen,chemical_mesh_d005480,1972
hsa00590,dr:D00414,zileuton,chemical_mesh_c063449,1990
hsa00590,dr:D00428,salicylsalicylic acid,chemical_mesh_c014182,1955
hsa00590,dr:D00510,Phenylbutazone,chemical_mesh_d010653,1952
hsa00590,dr:D00566,Sodium Salicylate,chemical_mesh_d012980,1879
hsa00590,dr:D00568,rofecoxib,chemical_mesh_c116926,1997
hsa00590,dr:D00810,choline salicylate,chemical_mesh_c015075,1960
hsa00590,dr:D00813,Ketorolac Tromethamine,chemical_mesh_d020911,1985
hsa00590,dr:D00903,Diclofenac,chemical_mesh_d004008,1971
hsa00590,dr:D00968,Fenoprofen,chemical_mesh_d005279,1971
hsa00590,dr:D01049,nimesulide,chemical_mesh_c012655,1976
hsa00590,dr:D01183,tolfenamic acid,chemical_mesh_c009500,1972
hsa00590,dr:D01252,alclofenac,chemical_mesh_c084615,1969
hsa00590,dr:D01271,Bufexamac,chemical_mesh_d002019,1965
hsa00590,dr:D01325,tiaprofenic acid,chemical_mesh_c021270,1975
hsa00590,dr:D01344,fenbufen,chemical_mesh_c010725,1975
hsa00590,dr:D01397,ampiroxicam,chemical_mesh_c065946,1990
hsa00590,dr:D01410,Benzydamine,chemical_mesh_d001591,1965
hsa00590,dr:D01513,alminoprofen,chemical_mesh_c027953,1985
hsa00590,dr:D01545,aceclofenac,chemical_mesh_c056498,1988
hsa00590,dr:D01565,indomethacin farnesil,chemical_mesh_c060022,1985
hsa00590,dr:D01578,pyranoprofen,chemical_mesh_c043940,1974
hsa00590,dr:D01581,Flufenamic Acid,chemical_mesh_d005439,1963
hsa00590,dr:D01582,acemetacin,chemical_mesh_c026784,1980
hsa00590,dr:D01675,biphenylylacetic acid,chemical_mesh_c012776,1976
hsa00590,dr:D01683,ozagrel,chemical_mesh_c034364,1981
hsa00590,dr:D01709,loxoprofen,chemical_mesh_c040656,1978
hsa00590,dr:D01718,mofezolac,chemical_mesh_c054999,1987
hsa00590,dr:D01765,proglumetacin,chemical_mesh_c019541,1978
hsa00590,dr:D01767,tenoxicam,chemical_mesh_c032801,1981
hsa00590,dr:D01773,oxatomide,chemical_mesh_c015408,1977
hsa00590,dr:D01788,amfenac,chemical_mesh_c014285,1977
hsa00590,dr:D01811,salicylamide,chemical_mesh_c031060,1946
hsa00590,dr:D01841,4-biphenylylacetic acid ethyl ester,chemical_mesh_c048480,1990
hsa00590,dr:D01866,lornoxicam,chemical_mesh_c059451,1988
hsa00590,dr:D01974,4-(4-cyclohexyl-2-methyloxazol-5-yl)-2-fluorobenzenesulfonamide,chemical_mesh_c110453,1998
hsa00590,dr:D02355,Tolmetin,chemical_mesh_d014046,1974
hsa00590,dr:D02709,valdecoxib,chemical_mesh_c406224,2000
hsa00590,dr:D02755,acivicin,chemical_mesh_c006303,1973
hsa00590,dr:D03010,atreleuton,chemical_mesh_c096921,1995
hsa00590,dr:D03080,benoxaprofen,chemical_mesh_c011677,1975
hsa00590,dr:D03163,bromfenac,chemical_mesh_c053083,1987
hsa00590,dr:D03661,dazmegrel,chemical_mesh_c039242,1983
hsa00590,dr:D03663,dazoxiben,chemical_mesh_c029166,1981
hsa00590,dr:D03689,deracoxib,chemical_mesh_c471996,2003
hsa00590,dr:D03712,firocoxib,chemical_mesh_c487384,2005
hsa00590,dr:D03714,lumiracoxib,chemical_mesh_c473384,2003
hsa00590,dr:D03715,dexibuprofen,chemical_mesh_c539402,1995
hsa00590,dr:D03716,parecoxib,chemical_mesh_c409945,1976
hsa00590,dr:D03882,"2,3,5-trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone",chemical_mesh_c036837,1982
hsa00590,dr:D04102,etofenamate,chemical_mesh_c015207,1977
hsa00590,dr:D04770,RS 43179,chemical_mesh_c045954,1985
hsa00590,dr:D05143,nepafenac,chemical_mesh_c414203,2000
hsa00590,dr:D05275,orpanoxin,chemical_mesh_c024876,1980
hsa00590,dr:D05319,Oxyphenbutazone,chemical_mesh_d010113,1960
hsa00590,dr:D05498,piriprost,chemical_mesh_c035296,1983
hsa00590,dr:D05502,pirmagrel,chemical_mesh_c037787,1983
hsa00590,dr:D05512,piroxicam cinnamate,chemical_mesh_c057291,1988
hsa00590,dr:D05598,pravadoline,chemical_mesh_c062767,1989
hsa00590,dr:D05727,ridogrel,chemical_mesh_c060219,1989
hsa00590,dr:D06017,tebufelone,chemical_mesh_c064268,1990
hsa00590,dr:D06072,tenidap,chemical_mesh_c062866,1988
hsa00590,dr:D06075,tepoxalin,chemical_mesh_c073135,1991
hsa00590,dr:D06606,solufenum,chemical_mesh_c016106,1977
hsa00590,dr:D07141,indobufen,chemical_mesh_c020371,1979
hsa00590,dr:D07142,triflusal,chemical_mesh_c016167,1977
hsa00590,dr:D07267,droxicam,chemical_mesh_c049073,1986
hsa00590,dr:D07268,ibuproxam,chemical_mesh_c025377,1977
hsa00590,dr:D07269,dexketoprofen trometamol,chemical_mesh_c118296,1996
hsa00590,dr:D07294,propacetamol,chemical_mesh_c063776,1989
hsa00590,dr:D07453,ST 679,chemical_mesh_c065762,1990
hsa00590,dr:D07580,acetylsalicylic acid lysinate,chemical_mesh_c010395,1970
hsa00590,dr:D07818,diclofenac hydroxyethylpyrrolidine,chemical_mesh_c064142,1990
hsa00590,dr:D07888,eltenac,chemical_mesh_c071200,1991
hsa00590,dr:D08058,ibuprofen arginine,chemical_mesh_c106674,1996
hsa00590,dr:D08102,ketoprofen lysine,chemical_mesh_c029946,1983
hsa00590,dr:D08104,Ketorolac,chemical_mesh_d020910,1985
hsa00590,dr:D08275,Niflumic Acid,chemical_mesh_d009544,1967
hsa00590,dr:D08501,trolamine salicylate,chemical_mesh_c032758,1964
hsa00590,dr:D08657,apricoxib,chemical_mesh_c514354,2006
hsa00590,dr:D09568,naproxen-n-butyl nitrate,chemical_mesh_c111751,1997
hsa00600,dr:D05031,migalastat,chemical_mesh_c090092,1994
hsa00600,dr:D05032,miglustat,chemical_mesh_c059896,1988
hsa00600,dr:D09893,eliglustat,chemical_mesh_c522917,2007
hsa00620,dr:D00123,Cyanamide,chemical_mesh_d003484,1947
hsa00620,dr:D00131,Disulfiram,chemical_mesh_d004221,1949
hsa00670,dr:D00142,Methotrexate,chemical_mesh_d008727,1949
hsa00670,dr:D00584,Fluorouracil,chemical_mesh_d005472,1957
hsa00670,dr:D01064,raltitrexed,chemical_mesh_c068874,1987
hsa00670,dr:D01244,Tegafur,chemical_mesh_d005641,1971
hsa00670,dr:D01309,doxifluridine,chemical_mesh_c025034,1978
hsa00670,dr:D01784,carmofur,chemical_mesh_c017367,1976
hsa00670,dr:D03942,edatrexate,chemical_mesh_c040210,1982
hsa00670,dr:D04197,Floxuridine,chemical_mesh_d005467,1959
hsa00670,dr:D04964,AG 331,chemical_mesh_c087748,1994
hsa00670,dr:D05589,10-propargyl-10-deazaaminopterin,chemical_mesh_c418863,1993
hsa00670,dr:D05999,N(alpha)-(4-amino-4-deoxypteroyl)-N(delta)-hemiphthaloyl-L-ornithine,chemical_mesh_c085590,1990
hsa00670,dr:D06238,Trimetrexate,chemical_mesh_d016597,1979
hsa00670,dr:D06239,trimetrexate glucuronate,chemical_mesh_c056321,1986
hsa00670,dr:D10803,ZD 9331,chemical_mesh_c094299,1994
hsa00760,dr:D04245,forodesine,chemical_mesh_c113101,1998
hsa00790,dr:D00142,Methotrexate,chemical_mesh_d008727,1949
hsa00790,dr:D03942,edatrexate,chemical_mesh_c040210,1982
hsa00790,dr:D05589,10-propargyl-10-deazaaminopterin,chemical_mesh_c418863,1993
hsa00790,dr:D05999,N(alpha)-(4-amino-4-deoxypteroyl)-N(delta)-hemiphthaloyl-L-ornithine,chemical_mesh_c085590,1990
hsa00790,dr:D06238,Trimetrexate,chemical_mesh_d016597,1979
hsa00790,dr:D06239,trimetrexate glucuronate,chemical_mesh_c056321,1986
hsa00790,dr:D11779,nulibry,chemical_mesh_c549445,1976
hsa00830,dr:D09385,R 115866,chemical_mesh_c406527,2000
hsa00860,dr:D05922,tin mesoporphyrin,chemical_mesh_c055421,1987
hsa00900,dr:D00359,Lovastatin,chemical_mesh_d008148,1979
hsa00900,dr:D00434,Simvastatin,chemical_mesh_d019821,1986
hsa00900,dr:D00889,cerivastatin,chemical_mesh_c086276,1993
hsa00900,dr:D00893,Pravastatin,chemical_mesh_d017035,1986
hsa00900,dr:D00939,Alendronate,chemical_mesh_d019386,1974
hsa00900,dr:D01862,pitavastatin,chemical_mesh_c108475,1997
hsa00900,dr:D03720,tipifarnib,chemical_mesh_c402769,1999
hsa00900,dr:D04768,lonafarnib,chemical_mesh_c115354,1998
hsa00900,dr:D07123,cimadronate,chemical_mesh_c071542,1991
hsa00900,dr:D09198,YM 529,chemical_mesh_c087958,1994
hsa00982,dr:D00505,Phenelzine,chemical_mesh_d010624,1959
hsa00982,dr:D00826,Tranylcypromine,chemical_mesh_d014191,1959
hsa00982,dr:D02559,toloxatone,chemical_mesh_c010798,1975
hsa00982,dr:D02560,brofaromine,chemical_mesh_c038213,1983
hsa00982,dr:D02561,Moclobemide,chemical_mesh_d020912,1982
hsa00982,dr:D02563,befloxatone,chemical_mesh_c090014,1994
hsa00982,dr:D02579,Iproniazid,chemical_mesh_d007490,1953
hsa00982,dr:D02580,Isocarboxazid,chemical_mesh_d007520,1959
hsa00982,dr:D03248,Clorgyline,chemical_mesh_d003010,1969
hsa00982,dr:D03409,caroxazone,chemical_mesh_c006919,1969
hsa00982,dr:D07337,Nialamide,chemical_mesh_d009526,1959
hsa00982,dr:D08392,pirlindole,chemical_mesh_c009830,1975
hsa00983,dr:D03998,eniluracil,chemical_mesh_c073482,1976
hsa02010,dr:D00219,Acetohexamide,chemical_mesh_d000092,1961
hsa02010,dr:D00271,Chlorpropamide,chemical_mesh_d002747,1958
hsa02010,dr:D00335,Glipizide,chemical_mesh_d005913,1971
hsa02010,dr:D00336,Glyburide,chemical_mesh_d005905,1968
hsa02010,dr:D00379,Tolazamide,chemical_mesh_d014042,1962
hsa02010,dr:D00380,Tolbutamide,chemical_mesh_d014044,1956
hsa02010,dr:D00418,Minoxidil,chemical_mesh_d008914,1972
hsa02010,dr:D00593,glimepiride,chemical_mesh_c057619,1988
hsa02010,dr:D00594,repaglinide,chemical_mesh_c072379,1993
hsa02010,dr:D01599,Gliclazide,chemical_mesh_d005907,1972
hsa02010,dr:D01810,Nicorandil,chemical_mesh_d020108,1978
hsa02010,dr:D01854,mitiglinide,chemical_mesh_c087255,1994
hsa02010,dr:D02385,Cromakalim,chemical_mesh_d019806,1986
hsa02010,dr:D02425,Carbutamide,chemical_mesh_d002271,1956
hsa02010,dr:D02430,gliquidone,chemical_mesh_c010969,1975
hsa02010,dr:D03128,biricodar,chemical_mesh_c106077,1997
hsa02010,dr:D03968,Elacridar,chemical_mesh_c083501,1993
hsa02010,dr:D04739,linogliride,chemical_mesh_c044425,1984
hsa02010,dr:D05482,Pinacidil,chemical_mesh_d020110,1980
hsa02010,dr:D06008,tariquidar,chemical_mesh_c402343,1999
hsa02010,dr:D06084,tesmilifene,chemical_mesh_c043062,1985
hsa02010,dr:D06277,valspodar,chemical_mesh_c070272,1991
hsa02010,dr:D06387,zosuquidar trihydrochloride,chemical_mesh_c095179,1996
hsa02010,dr:D07118,glisoxepide,chemical_mesh_c100171,1971
hsa03050,dr:D08880,carfilzomib,chemical_mesh_c524865,2007
hsa03050,dr:D09640,marizomib,chemical_mesh_c475865,2003
hsa03250,dr:D06297,vicriviroc,chemical_mesh_c486781,2004
hsa03320,dr:D00279,Clofibrate,chemical_mesh_d002994,1962
hsa03320,dr:D00334,Gemfibrozil,chemical_mesh_d015248,1976
hsa03320,dr:D00565,Fenofibrate,chemical_mesh_d011345,1976
hsa03320,dr:D01274,tesaglitazar,chemical_mesh_c501413,2001
hsa03320,dr:D01366,Bezafibrate,chemical_mesh_d001629,1977
hsa03320,dr:D03493,ciglitazone,chemical_mesh_c039671,1982
hsa03320,dr:D03521,ciprofibrate,chemical_mesh_c019304,1975
