"ID"	"Description"	"Gene"	"GeneID"
"dr:D00101"	"Vasopressin (JP18/USP);"	"AVPR1A/AVPR1B/AVPR2"	"552/553/554"
"dr:D00105"	"Estradiol (JAN/USP/INN);"	"ESR1/ESR2"	"2099/2100"
"dr:D00106"	"Epoprostenol (USAN/INN);"	"PTGIR"	"5739"
"dr:D00107"	"Tacrolimus (USP/INN);"	"PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/CHP1/CHP2"	"5530/5532/5533/5534/5535/11261/63928"
"dr:D00109"	"Aspirin (JP18/USP);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00110"	"Cocaine (USP);"	"SLC6A3/SLC6A4/SLC6A2/KCNH2/SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6531/6532/6530/3757/6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00112"	"G-Strophanthin (JAN);"	"ATP1A1/ATP1A2/ATP1A3/ATP1A4"	"476/477/478/480"
"dr:D00113"	"Atropine (USP);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00116"	"Glucagon (genetical recombination) (JP18);"	"GCGR"	"2642"
"dr:D00118"	"Naproxen (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00120"	"Sulindac (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00122"	"Calcifediol (USP/INN);"	"VDR"	"7421"
"dr:D00123"	"Cyanamide (JP18);"	"ALDH2/ALDH1B1/ALDH3A2"	"217/219/224"
"dr:D00124"	"Ephedrine (USP);"	"ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3"	"148/147/146/150/151/152/153/154/155"
"dr:D00125"	"Etoposide (JP18/USP/INN);"	"TOP2A/TOP2B"	"7153/7155"
"dr:D00126"	"Ibuprofen (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00127"	NA	"PTGS2"	"5743"
"dr:D00127"	"Piroxicam (JP18/USP/INN);"	"PTGS2"	"5743"
"dr:D00129"	"Calcitriol (JAN/USP/INN);"	"VDR"	"7421"
"dr:D00130"	"Diflunisal (JAN/USP/INN);"	"PTGS2"	"5743"
"dr:D00131"	"Disulfiram (JP18/USP/INN);"	"ALDH2/ALDH1B1/ALDH3A2"	"217/219/224"
"dr:D00132"	"Ketoprofen (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00136"	"Haloperidol (JP18/USP/INN);"	"DRD2"	"1813"
"dr:D00138"	"Scopolamine (INN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00141"	"Indomethacin (USP);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00142"	"Methotrexate (JP18/USP/INN);"	"DHFR/DHFR2"	"1719/200895"
"dr:D00146"	"Corticotropin (USP/INN);"	"MC2R"	"4158"
"dr:D00147"	"Hyoscyamine (USP)"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00150"	"Angiotensin II (INN)"	"AGTR1/AGTR2"	"185/186"
"dr:D00151"	"Mefenamic acid (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00152"	"Phloroglucinol (JAN);"	"COMT"	"1312"
"dr:D00153"	"Testolactone (USP/INN);"	"CYP19A1"	"1588"
"dr:D00155"	"Pentostatin (JAN/USAN/INN);"	"ADA"	"100"
"dr:D00156"	"Glycyrrhetinic acid (JAN);"	"HSD11B1"	"3290"
"dr:D00158"	"Tolmetin sodium (JAN/USP);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00160"	"Aminocaproic acid (USP/INN);"	"PLG"	"5340"
"dr:D00161"	"Mercaptopurine (USP);"	"HPRT1"	"3251"
"dr:D00163"	"Chenodiol (USAN);"	"NR1H4"	"9971"
"dr:D00164"	"Retinol palmitate (JP18);"	"RARA/RARB/RARG"	"5914/5915/5916"
"dr:D00165"	"Hydrocortisone acetate (JP18/USP);"	"NR3C1"	"2908"
"dr:D00169"	"Meclofenamate sodium (USP);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00176"	"Protirelin (JP18/USAN/INN);"	"TRHR"	"7201"
"dr:D00180"	"Alprostadil (JP18/USP/INN);"	"PTGER1"	"5731"
"dr:D00181"	"Argatroban (USP);"	"F2"	"2147"
"dr:D00182"	"Norethindrone (USP);"	"PGR"	"5241"
"dr:D00184"	"Cyclosporine (USP);"	"PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/CHP1/CHP2"	"5530/5532/5533/5534/5535/11261/63928"
"dr:D00185"	"Estriol (JP18/USP);"	"ESR1/ESR2"	"2099/2100"
"dr:D00187"	"Ergocalciferol (JP18/USP);"	"VDR"	"7421"
"dr:D00188"	"Cholecalciferol (JP18/USP);"	"VDR"	"7421"
"dr:D00193"	"Dexpanthenol (USP/INN);"	"CHRM3"	"1131"
"dr:D00195"	"Codeine (USP);"	"OPRM1"	"4988"
"dr:D00196"	"Physostigmine (USP);"	"ACHE"	"43"
"dr:D00197"	"Reserpine (JP18/USP/INN);"	"SLC18A1/SLC18A2"	"6570/6571"
"dr:D00199"	"Ajmaline (JP18);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00216"	"Acarbose (JAN/USAN/INN);"	"GAA/GANC/MGAM/AMY2A/AMY2B"	"2548/2595/8972/279/280"
"dr:D00217"	"Acetaminophen (JP18/USP);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00218"	"Acetazolamide (JP18/USP/INN);"	"CA1/CA2/CA3/CA4/CA5A/CA5B/CA6/CA7/CA8/CA9/CA12/CA13/CA14"	"759/760/761/762/763/11238/765/766/767/768/771/377677/23632"
"dr:D00219"	"Acetohexamide (JP18/USP/INN);"	"ABCC8"	"6833"
"dr:D00224"	"Allopurinol (JP18/USP/INN);"	"XDH"	"7498"
"dr:D00225"	"Alprazolam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00227"	"Aminophylline (USP/INN);"	"ADORA1/ADORA2B/PDE10A/PDE7B/PDE11A/PDE1A/PDE1C/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/PDE4D/PDE7A/PDE8A/PDE1B/PDE8B"	"134/136/10846/27115/50940/5136/5137/5138/5139/5140/5141/5142/5143/5144/5150/5151/5153/8622"
"dr:D00228"	"Amoxapine (JP18/USP/INN);"	"SLC6A4/SLC6A2"	"6532/6530"
"dr:D00231"	"Inamrinone (USP);"	"PDE3A/PDE3B"	"5139/5140"
"dr:D00232"	"Anisotropine methylbromide (USAN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00234"	"Astemizole (JAN/USP/INN);"	"HRH1"	"3269"
"dr:D00235"	"Atenolol (JP18/USP/INN);"	"ADRB1"	"153"
"dr:D00241"	"Baclofen (JP18/USP/INN);"	"GABBR1/GABBR2"	"2550/9568"
"dr:D00244"	"Betamethasone (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00246"	"Budesonide (JAN/USP/INN);"	"NR3C1"	"2908"
"dr:D00247"	"Bumetanide (JP18/USP/INN);"	"SLC12A1/SLC12A2/SLC12A4"	"6557/6558/6560"
"dr:D00249"	"Calcitonin salmon (JP18/USP/INN);"	"CALCR"	"799"
"dr:D00250"	"Capsaicin (JAN/USP);"	"TRPV1"	"7442"
"dr:D00251"	"Captopril (JP18/USP/INN);"	"ACE"	"1636"
"dr:D00252"	"Carbamazepine (JP18/USP/INN);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00255"	"Carvedilol (JP18/USP/INN);"	"ADRA1A/ADRA1B/ADRA1D/ADRB1/ADRB2"	"148/147/146/153/154"
"dr:D00267"	"Chlordiazepoxide (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00269"	"Chlorotrianisene (INN);"	"ESR1/ESR2"	"2099/2100"
"dr:D00270"	"Chlorpromazine (USP/INN);"	"HTR2A/HTR2B/HTR2C/HRH1/ADRA2A/ADRA2B/ADRA2C/DRD2/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"3356/3357/3358/3269/150/151/152/1813/1128/1129/1131/1132/1133"
"dr:D00271"	"Chlorpropamide (JP18/USP/INN);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00272"	"Chlorthalidone (USP);"	"SLC12A3/SLC12A1"	"6559/6557"
"dr:D00274"	"Cisapride (USP/INN)"	"HTR4/HTR3A/HTR2A"	"3360/3359/3356"
"dr:D00279"	"Clofibrate (JP18/USP/INN);"	"PPARA"	"5465"
"dr:D00280"	"Clonazepam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00281"	"Clonidine (JAN/USP/INN);"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D00283"	"Clozapine (JAN/USP/INN);"	"HTR2A/HTR2C/HTR3A/HTR3B/HTR3C/HTR3D/HTR3E/ADRA2A/ADRA2B/ADRA2C/DRD4"	"3356/3358/3359/9177/170572/200909/285242/150/151/152/1815"
"dr:D00284"	"Cosyntropin (USP);"	"MC2R"	"4158"
"dr:D00289"	"Danazol (JP18/USP/INN);"	"AR/PGR/ESR1"	"367/5241/2099"
"dr:D00291"	"Desmopressin (INN)"	"AVPR2/F8"	"554/2157"
"dr:D00292"	"Dexamethasone (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00293"	"Diazepam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00294"	"Diazoxide (JAN/USP/INN);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00295"	"Cimetidine (JP18/USP/INN);"	"HRH2"	"3274"
"dr:D00297"	"Digitoxin (JAN/USP/INN);"	"ATP1A1/ATP1A2/ATP1A3/ATP1A4"	"476/477/478/480"
"dr:D00298"	"Digoxin (JP18/USP);"	"ATP1A1/ATP1A2/ATP1A3/ATP1A4"	"476/477/478/480"
"dr:D00299"	"Dihydrotachysterol (JAN/USP/INN);"	"VDR"	"7421"
"dr:D00300"	"Diphenhydramine (JP18/INN);"	"HRH1"	"3269"
"dr:D00302"	"Dipyridamole (JP18/USP/INN);"	"PDE5A/PDE4A"	"8654/5141"
"dr:D00303"	"Disopyramide (JP18/USAN/INN);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00304"	"Divalproex sodium (USP);"	"ABAT/ALDH5A1/GAD1/GAD2/CACNA1I/CACNA1H/CACNA1G"	"18/7915/2571/2572/8911/8912/8913"
"dr:D00306"	"Dronabinol (USP/INN);"	"CNR1/CNR2"	"1268/1269"
"dr:D00308"	"Droperidol (JP18/USP/INN);"	"ADRA1A/ADRA1B/ADRA1D/DRD2"	"148/147/146/1813"
"dr:D00311"	"Estazolam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00312"	"Estrone sodium sulfate;"	"ESR1/ESR2"	"2099/2100"
"dr:D00313"	"Ethacrynic acid (USP);"	"SLC12A1/SLC12A2"	"6557/6558"
"dr:D00315"	"Etodolac (JP18/USP/INN);"	"PTGS2"	"5743"
"dr:D00316"	"Etretinate (JAN/USAN/INN);"	"RARA/RARB/RARG/RXRA/RXRB/RXRG"	"5914/5915/5916/6256/6257/6258"
"dr:D00318"	"Famotidine (JP18/USP/INN);"	"HRH2"	"3274"
"dr:D00319"	"Felodipine (JP18/USP/INN);"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S"	"775/776/778/779"
"dr:D00320"	"Fentanyl (JAN/USP/INN);"	"OPRM1"	"4988"
"dr:D00321"	"Finasteride (JAN/USP/INN);"	"SRD5A2"	"6716"
"dr:D00324"	"Flunisolide (JAN/USP);"	"NR3C1"	"2908"
"dr:D00325"	"Fluocinonide (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00326"	"Fluoxetine (USAN/INN);"	"SLC6A4"	"6532"
"dr:D00327"	"Fluoxymesterone (JAN/USP/INN);"	"AR"	"367"
"dr:D00328"	"Flurandrenolide (USP);"	"NR3C1"	"2908"
"dr:D00329"	"Flurazepam (JAN/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00330"	"Flurbiprofen (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00331"	"Furosemide (JP18/USP/INN);"	"SLC12A1/SLC12A2"	"6557/6558"
"dr:D00332"	"Gabapentin (JAN/USP/INN);"	"CACNA2D1/CACNA2D2/CACNA2D3/CACNA2D4/SLC6A1"	"781/9254/55799/93589/6529"
"dr:D00334"	"Gemfibrozil (JAN/USP/INN);"	"PPARA"	"5465"
"dr:D00335"	"Glipizide (USP/INN);"	"ABCC8"	"6833"
"dr:D00336"	"Glyburide (USP);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00338"	"Halazepam (USAN/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00340"	"Hydrochlorothiazide (JP18/USP/INN);"	"SLC12A3"	"6559"
"dr:D00341"	"Hydroxyurea (USP);"	"RRM2"	"6241"
"dr:D00345"	"Indapamide (JP18/USP);"	"SLC12A3"	"6559"
"dr:D00348"	"Isotretinoin (USP);"	"RARA/RARB/RARG"	"5914/5915/5916"
"dr:D00349"	"Isradipine (USP/INN);"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S"	"775/776/778/779"
"dr:D00354"	"Lamotrigine (JAN/USP/INN);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00355"	"Lansoprazole (JP18/USP/INN);"	"ATP4A/ATP4B"	"495/496"
"dr:D00356"	"Latanoprost (JAN/USP/INN);"	"PTGFR"	"5737"
"dr:D00357"	"Losartan potassium (JP18/USP);"	"AGTR1"	"185"
"dr:D00358"	"Lidocaine (JP18/USP/INN);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00359"	"Lovastatin (USP/INN);"	"HMGCR"	"3156"
"dr:D00362"	"Lisinopril (USP);"	"ACE"	"1636"
"dr:D00364"	"Loratadine (JAN/USP/INN);"	"HRH1"	"3269"
"dr:D00365"	"Lorazepam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00366"	"Lypressin (USAN/INN);"	"AVPR1A/AVPR1B/AVPR2"	"552/553/554"
"dr:D00367"	"Mazindol (JAN/USP/INN);"	"SLC6A2/SLC6A3/SLC6A4"	"6530/6531/6532"
"dr:D00370"	"Temazepam (USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00371"	"Theophylline (JP18);"	"ADORA1/ADORA2B/PDE10A/PDE7B/PDE11A/PDE1A/PDE1C/PDE2A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4C/PDE4D/PDE7A/PDE8A/PDE1B/PDE8B"	"134/136/10846/27115/50940/5136/5137/5138/5139/5140/5141/5142/5143/5144/5150/5151/5153/8622"
"dr:D00373"	"Thioridazine (USP/INN);"	"DRD2"	"1813"
"dr:D00374"	"Thiothixene (USP);"	"DRD2/DRD3"	"1813/1814"
"dr:D00375"	"Mephenytoin (USP/INN);"	"SCN1A/SCN2A/SCN3A/SCN4A/SCN5A/SCN8A/SCN9A/SCN10A/SCN11A"	"6323/6326/6328/6329/6331/6334/6335/6336/11280"
"dr:D00376"	"Meprobamate (JAN/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00378"	"Timolol (USAN);"	"ADRB1/ADRB2"	"153/154"
"dr:D00379"	"Tolazamide (JAN/USP/INN);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00380"	"Tolbutamide (JP18/USP/INN);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00382"	"Torsemide (USP);"	"SLC12A1/SLC12A2"	"6557/6558"
"dr:D00383"	"Trandolapril (JAN/USP/INN);"	"ACE"	"1636"
"dr:D00385"	"Triamcinolone (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00386"	"Triamterene (JP18/USP/INN);"	"SCNN1A/SCNN1B/SCNN1G/NR3C2"	"6337/6338/6340/4306"
"dr:D00387"	"Triazolam (JP18/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00389"	"Metandienone (INN);"	"AR"	"367"
"dr:D00390"	"Triflupromazine (USP/INN);"	"DRD2"	"1813"
"dr:D00394"	"Trimipramine (USAN/INN)"	"SLC6A2/SLC6A4"	"6530/6532"
"dr:D00395"	"Troglitazone (JAN/USAN/INN);"	"PPARG"	"5468"
"dr:D00397"	"Tropicamide (JP18/USP/INN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00399"	"Valproic acid (USP);"	"ABAT/ALDH5A1/GAD1/GAD2/CACNA1I/CACNA1H/CACNA1G"	"18/7915/2571/2572/8911/8912/8913"
"dr:D00400"	"Valsartan (JP18/USP/INN);"	"AGTR1"	"185"
"dr:D00401"	"Methimazole (USP);"	"TPO"	"7173"
"dr:D00403"	"Methotrimeprazine (USP);"	"DRD2"	"1813"
"dr:D00404"	"Methsuximide (USP);"	"CACNA1I/CACNA1H/CACNA1G"	"8911/8912/8913"
"dr:D00405"	"Methyldopa (USP);"	"ADRA2A/ADRA2B/ADRA2C"	"150/151/152"
"dr:D00407"	"Methylprednisolone (JP18/USP/INN);"	"NR3C1"	"2908"
"dr:D00408"	"Methyltestosterone (JP18/USP/INN);"	"AR"	"367"
"dr:D00410"	"Metyrapone (JP18/USP/INN);"	"CYP11B1"	"1584"
"dr:D00411"	"Zafirlukast (JAN/USAN/INN);"	"CYSLTR1"	"10800"
"dr:D00414"	"Zileuton (USP/INN);"	"ALOX5"	"240"
"dr:D00415"	"Zolmitriptan (JAN/USP/INN);"	"HTR1B/HTR1D"	"3351/3352"
"dr:D00417"	"Milrinone (JAN/USP/INN);"	"PDE3A/PDE3B"	"5139/5140"
"dr:D00418"	"Minoxidil (JAN/USP/INN);"	"ABCC8/KCNJ11"	"6833/3767"
"dr:D00419"	"Misoprostol (JAN/USP/INN);"	"PTGER2/PTGER3/PTGER4"	"5732/5733/5734"
"dr:D00420"	"Mitotane (JAN/USP/INN);"	"CYP17A1"	"1586"
"dr:D00421"	"Ramipril (USP/INN);"	"ACE"	"1636"
"dr:D00422"	"Ranitidine (USAN/INN);"	"HRH2"	"3274"
"dr:D00425"	"Nabumetone (JP18/USP/INN);"	"PTGS2/PTGS1"	"5743/5742"
"dr:D00426"	"Risperidone (JP18/USP/INN);"	"DRD2/HTR2A"	"1813/3356"
"dr:D00428"	"Salsalate (USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00430"	"Secobarbital (USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00431"	"Metolazone (JAN/USP/INN);"	"SLC12A3"	"6559"
"dr:D00432"	"Nadolol (JP18/USP/INN);"	"ADRB1/ADRB2"	"153/154"
"dr:D00434"	"Simvastatin (JP18/USP/INN);"	"HMGCR"	"3156"
"dr:D00437"	"Nifedipine (JP18/USP/INN);"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S"	"775/776/778/779"
"dr:D00438"	"Nimodipine (USP/INN);"	"CACNA1C/CACNA1D/CACNA1F/CACNA1S"	"775/776/778/779"
"dr:D00440"	"Nizatidine (JP18/USP/INN);"	"HRH2"	"3274"
"dr:D00442"	"Octreotide (USAN/INN)"	"SSTR2"	"6752"
"dr:D00443"	"Spironolactone (JP18/USP/INN);"	"NR3C2"	"4306"
"dr:D00444"	"Stanozolol (JAN/USP/INN);"	"AR"	"367"
"dr:D00451"	"Sumatriptan (JAN/USP/INN);"	"HTR1B/HTR1D"	"3351/3352"
"dr:D00454"	"Olanzapine (JAN/USP/INN);"	"HTR2A/HTR2B/HTR2C/HTR6/HRH1/ADRA1A/ADRA1B/ADRA1D/DRD2/DRD3/DRD4"	"3356/3357/3358/3362/3269/148/147/146/1813/1814/1815"
"dr:D00455"	"Omeprazole (JP18/USP/INN);"	"ATP4A/ATP4B"	"495/496"
"dr:D00456"	"Ondansetron (JAN/USP/INN);"	"HTR3A/HTR3B/HTR3C/HTR3D/HTR3E"	"3359/9177/170572/200909/285242"
"dr:D00457"	"Quazepam (JAN/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00458"	"Quetiapine fumarate (JP18/USP);"	"HTR2A/DRD2"	"3356/1813"
"dr:D00459"	"Quinapril hydrochloride (JP18/USP);"	"ACE"	"1636"
"dr:D00461"	"Quinethazone (JAN/INN);"	"SLC12A3/SLC12A1"	"6559/6557"
"dr:D00462"	"Oxandrolone (JAN/USP/INN);"	"AR"	"367"
"dr:D00463"	"Oxaprozin (JP18/USP/INN);"	"PTGS1/PTGS2"	"5742/5743"
"dr:D00464"	"Oxazepam (JAN/USP/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
"dr:D00465"	"Oxybutynin (USAN/INN);"	"CHRM1/CHRM2/CHRM3/CHRM4/CHRM5"	"1128/1129/1131/1132/1133"
"dr:D00469"	"Pralidoxime chloride (USP);"	"ACHE"	"43"
"dr:D00470"	"Prazepam (JP18/USAN/INN);"	"GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ"	"2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2564/2565/2566/2567/2568/55879"
