kegg_id,name,chebi,pubchem_sid,pubchem_cid,mesh_headings,mesh_terms,mesh_id,conv_method,mesh_label,score
dr:D00079,Dinoprostone,chebi:15551,pubchem:7847147,5280360,['Dinoprostone'],"['PGE2alpha', 'Prostaglandin E2alpha', 'Prostenon', 'E2 alpha, Prostaglandin', 'E2alpha, Prostaglandin', 'PGE2 alpha', 'alpha, PGE2', 'Dinoprostone', 'Gel, Prepidil', 'PGE2', 'Prostaglandin E2', 'Prostaglandin E2 alpha', 'E2, Prostaglandin', 'Prepidil Gel', 'alpha, Prostaglandin E2']",D015232,exact_heading,Dinoprostone,0.0
dr:D00081,Dinoprost,chebi:15553,pubchem:7847149,5280363,['Dinoprost'],"['9alpha,11beta PGF2', 'F2 alpha, Prostaglandin', 'F2alpha, Prostaglandin', 'Prostaglandin F2 alpha', 'Prostaglandin F2alpha', 'alpha, PGF2', 'Dinoprost', 'Estrofan', 'PGF2', 'PGF2 alpha', '9alpha,11beta-PGF2', 'Enzaprost F', 'PGF2alpha', 'Prostaglandin F2']",D015237,exact_heading,Dinoprost,0.0
dr:D00085,Insulin,chebi:5931,pubchem:7847153,N/A,[],[],D007328,exact_name,Insulin,0.0
dr:D00087,Ubenimex,chebi:3070,pubchem:7847155,439299,[],[],N/A,failed,N/A,0.0
dr:D00088,Hydrocortisone,chebi:17650,pubchem:7847156,5754,['Hydrocortisone'],"['Cortisol', 'Epicortisol', 'Hydrocortisone', '11 Epicortisol', 'Cortifair', 'Hydrocortisone, (9 beta,10 alpha,11 alpha)-Isomer', '11-Epicortisol', 'Cortef', 'Cortril', 'Hydrocortisone, (11 alpha)-Isomer', 'Pregn-4-ene-3,20-dione, 11,17,21-trihydroxy-, (11beta)-']",D006854,exact_heading,Hydrocortisone,0.0
dr:D00089,Oxytocin,chebi:7872,pubchem:7847157,439302,['Oxytocin'],"['Syntocinon', 'Ocytocin', 'Oxytocin', 'Pitocin']",D010121,exact_heading,Oxytocin,0.0
dr:D00094,Tretinoin,chebi:15367,pubchem:7847162,444795,['Tretinoin'],"['Acid, Vitamin A', 'Acid, all-trans-Retinoic', 'Retin A', 'Sodium Salt, Tretinoin', 'Tretinoin Potassium Salt', 'Acid, Retinoic', 'Retin-A', 'Retinoic Acid', 'Tretinoin', 'Tretinoin Sodium Salt', 'Tretinoin Zinc Salt', 'Vitamin A Acid', 'all trans Retinoic Acid', 'beta-all-trans-Retinoic Acid', 'trans Retinoic Acid', 'Salt, Tretinoin Potassium', 'Salt, Tretinoin Zinc', 'beta all trans Retinoic Acid', 'trans-Retinoic Acid', 'Acid, beta-all-trans-Retinoic', 'Acid, trans-Retinoic', 'Potassium Salt, Tretinoin', 'Salt, Tretinoin Sodium', 'Vesanoid', 'Zinc Salt, Tretinoin', 'all-trans-Retinoic Acid']",D014212,exact_heading,Tretinoin,0.0
dr:D00095,Epinephrine,chebi:28918,pubchem:7847163,5816,['Epinephrine'],"['Acetate, Epinephrine', 'Adrenaline Acid Tartrate', 'Epinephrine Hydrogen Tartrate', 'Medihaler-Epi', '4-(1-Hydroxy-2-(methylamino)ethyl)-1,2-benzenediol', 'Epinephrine', 'Epinephrine Acetate', 'Adrenaline', 'Adrenaline Bitartrate', 'Adrenaline Hydrochloride', 'Epifrin', 'Epinephrine Bitartrate', 'Epitrate', 'Lyophrin', 'Epinephrine Hydrochloride']",D004837,exact_heading,Epinephrine,0.0
dr:D00101,Vasopressin,chebi:9937,pubchem:7847169,N/A,[],[],D014667,fuzzy_name,Vasopressins,0.9565217391304348
dr:D00105,Estradiol,chebi:16469,pubchem:7847173,5757,['Estradiol'],"['Estradiol Hemihydrate', 'Estradiol, (+-)-Isomer', 'Estradiol, (16 alpha,17 alpha)-Isomer', 'Estradiol, Sodium Salt', 'Estradiol-17 alpha', 'Ovocyclin', 'estradiol valeriante', '17 beta Estradiol', 'Delestrogen', 'Estradiol Hemihydrate, (17 alpha)-Isomer', 'Estradiol, (-)-Isomer', 'Estradiol-17 beta', 'Oestradiol', 'Progynon Depot', 'Progynon-Depot', 'Vivelle', 'Estradiol 17beta', 'Estradiol Anhydrous', 'Estradiol Monohydrate', 'Estradiol, (8 alpha,17 beta)-(+-)-Isomer', 'Estradiol, (8 alpha,17 beta)-Isomer', 'Estradiol, (9 beta,17 alpha)-Isomer', 'Estradiol, (9 beta,17 beta)-Isomer', 'Estradiol, Monosodium Salt', 'Estradiol-17beta', 'Progynova', 'estradiol valerate', '17 beta Oestradiol', '17 beta-Estradiol', '17 beta-Oestradiol', 'Aerodiol', 'Estrace', 'Estraderm TTS', 'Estradiol', 'Estradiol 17 alpha', 'Estradiol 17 beta', 'Estradiol, (16 alpha,17 beta)-Isomer', 'Estradiol, (17-alpha)-Isomer']",D004958,exact_heading,Estradiol,0.0
dr:D00106,Epoprostenol,chebi:15552,pubchem:7847174,5280427,[],[],D011464,exact_name,Epoprostenol,0.0
dr:D00107,Tacrolimus,chebi:61057,pubchem:7847175,5282315,['Tacrolimus'],"['Anhydrous Tacrolimus', 'FR-900506', 'Tacrolimus, Anhydrous', 'FK-506', 'FK506', 'FR 900506', 'FR900506', 'Prograft', 'Anhydrous, Tacrolimus', 'Prograf', 'Tacrolimus Anhydrous', 'FK 506', 'Tacrolimus']",D016559,exact_heading,Tacrolimus,0.0
dr:D00109,Aspirin,chebi:15365,pubchem:7847177,2244,['Aspirin'],"['Magnecyl', 'Zorprin', 'Acetysal', 'Dispril', 'Solprin', 'Solupsan', '2-(Acetyloxy)benzoic Acid', 'Acetylsalicylic Acid', 'Acid, Acetylsalicylic', 'Acylpyrin', 'Aloxiprimum', 'Colfarit', 'Ecotrin', 'Endosprin', 'Aspirin', 'Easprin', 'Micristin', 'Polopirin', 'Polopiryna']",D001241,exact_heading,Aspirin,0.0
dr:D00110,Cocaine,chebi:27958,pubchem:7847178,122142,[],[],D003042,exact_name,Cocaine,0.0
dr:D00112,G-Strophanthin,chebi:472805,pubchem:7847180,439501,['Ouabain'],"['Acocantherin', 'Acolongifloroside K', 'G-Strophanthin', 'G Strophanthin', 'Ouabain']",D010042,exact_heading,Ouabain,0.0
dr:D00113,Atropine,"chebi:16684,chebi:78734",pubchem:7847181,174174,['Atropine'],"['Anhydrous, Atropine Sulfate', 'AtroPen', 'Atropine Sulfate', 'Sulfate, Atropine', 'Atropinol', 'Sulfate Anhydrous, Atropine', 'Atropine Sulfate Anhydrous', 'Augenöl, Atropin', 'Atropin Augenöl', 'Atropine']",D001285,exact_heading,Atropine,0.0
dr:D00116,Glucagon,chebi:5391,pubchem:7847184,N/A,[],[],D005934,exact_name,Glucagon,0.0
dr:D00118,Naproxen,chebi:7476,pubchem:7847186,156391,['Naproxen'],"['Sodium, Naproxen', 'Anaprox', 'Naprosin', 'Proxen', 'Sodium Naproxenate', 'Aleve', 'Methoxypropiocin', 'Naproxen Sodium', 'Naprosyn', 'Naproxen', 'Naproxenate, Sodium', 'Synflex']",D009288,exact_heading,Naproxen,0.0
dr:D00120,Sulindac,chebi:9352,pubchem:7847188,1548887,['Sulindac'],"['Kenalin', 'Klinoril', 'MK 231', 'Sulindac', 'Sulindal', 'Arthrocine', 'Chibret', 'Nu-Sulindac', 'Aclin', 'Apo Sulin', 'Apo-Sulin', 'Arthrobid', 'Clinoril', 'Novo-Sundac', 'Copal', 'MK-231', 'MK231', 'Novo Sundac', 'Nu Sulindac']",D013467,exact_heading,Sulindac,0.0
dr:D00122,Calcifediol,chebi:181423,pubchem:7847190,6441383,['Calcifediol'],"['25-Hydroxycholecalciferol Monohydrate', '25-Hydroxyvitamin D 3', '25-Hydroxyvitamin D3', 'Anhydrous, Calcifediol', 'Calcifediol Anhydrous', 'Calcifediol, (3 alpha,5Z,7E)-Isomer', '25 Hydroxycholecalciferol Monohydrate', 'Dedrogyl', 'Hidroferol', '25 Hydroxycholecalciferol', 'Calcifediol, (3 beta,5E,7E)-Isomer', 'Calderol', '25 Hydroxyvitamin D 3', '25 Hydroxyvitamin D3', '25-Hydroxycholecalciferol', 'Calcidiol', 'Calcifediol', 'Monohydrate, 25-Hydroxycholecalciferol']",D002112,exact_heading,Calcifediol,0.0
dr:D00123,Cyanamide,chebi:16698,pubchem:7847191,9864,['Cyanamide'],"['Abstem', 'Calcium Cyanamide', 'Cyanamide', 'Cyanamide, Calcium (1:1) Salt', 'Temposil', 'Carbimide', 'Colme', 'Cyanamide, Calcium', 'Cyanamide, Calcium Salt', 'Calcium Carbimide', 'Calcium Salt Cyanamide', 'Carbimide, Calcium', 'Citrated Calcium Cyanamide', 'Cyanamide, Citrated Calcium', 'Calcium Cyanamide, Citrated', 'Cyanamide, Calcium (2:1) Salt']",D003484,exact_heading,Cyanamide,0.0
dr:D00124,Ephedrine,chebi:15407,pubchem:7847192,9294,['Ephedrine'],"['Ephedrine Erythro Isomer', 'Erythro Isomer of Ephedrine', 'Sulfate, Ephedrine', 'Ephedrine Renaudin', 'Ephedrine Sulfate', 'Renaudin, Ephedrine', 'SalPhedrine', 'Ephedrine', 'Ephedrine Hydrochloride', 'Hydrochloride, Ephedrine', 'Sal Phedrine', 'Sal-Phedrine']",D004809,exact_heading,Ephedrine,0.0
dr:D00125,Etoposide,chebi:4911,pubchem:7847193,36462,['Etoposide'],"['Eto GRY', 'Etomedac', 'Etopos', 'Etoposide, (5S)-Isomer', 'Etoposide, alpha D Glucopyranosyl Isomer', 'NSC-141540', 'Onkoposid', 'Toposar', 'VP 16', 'VP 16-213', 'VP16', 'Vépéside-Sandoz', 'alpha-D-Glucopyranosyl Isomer Etoposide', 'Celltop', 'Etoposide Pierre Fabre', 'Etoposide, alpha-D-Glucopyranosyl Isomer', 'Lastet', 'NSC 141540', 'VP 16213', 'Vépéside Sandoz', 'Demethyl Epipodophyllotoxin Ethylidine Glucoside', 'Etoposide', 'Etoposide Teva', 'Etoposide, (5a alpha)-Isomer', 'Exitop', 'VP 16 213', 'Eposide', 'Eposin', 'Eto-GRY', 'Etoposide, (5a alpha,9 alpha)-Isomer', 'Etoposido Ferrer Farma', 'NSC141540', 'Riboposid', 'Teva, Etoposide', 'VP-16', 'Vepesid']",D005047,exact_heading,Etoposide,0.0
dr:D00126,Ibuprofen,chebi:5855,pubchem:7847194,3672,['Ibuprofen'],"['Brufen', 'Ibuprofen', 'Ibuprofen, (R)-Isomer', 'Ibuprofen, (S)-Isomer', 'Ibuprofen, Sodium Salt', 'Rufen', 'Salprofen', 'alpha-Methyl-4-(2-methylpropyl)benzeneacetic Acid', 'Advil', 'Ibumetin', 'Ibuprofen Zinc', 'Ibuprofen, Calcium Salt', 'Trauma Dolgit Gel', 'Trauma-Dolgit Gel', 'Benzeneacetic Acid, alpha-methyl-4-(2-methylpropyl)- trimethylsilyl ester', 'Ibuprofen, Copper (2+) Salt', 'Ibuprofen, Magnesium Salt', 'Ibuprofen, Potassium Salt', 'Ibuprofen, (+-)-Isomer', 'Ibuprofen, Aluminum Salt', 'Ibuprofen, Zinc Salt', 'Ibuprofen-Zinc', 'Motrin', 'Nuprin']",D007052,exact_heading,Ibuprofen,0.0
dr:D00127,Piroxicam,chebi:8249,pubchem:7847195,54676228,['Piroxicam'],"['CP16171', 'Piroxicam', 'CP 16171', 'Feldene', 'CP-16171']",D010894,exact_heading,Piroxicam,0.0
dr:D00129,Calcitriol,chebi:17823,pubchem:7847197,5280453,['Calcitriol'],"['1, 25-(OH)2D3', '1,25(OH)2-20epi-D3', 'Calcijex', 'Calcitriol', 'MC 1288', 'Renatriol', 'Calcitriol Nefro', 'Calcitriol-Nefro', 'D3, 1 alpha,25-Dihydroxyvitamin', 'Osteotriol', '1 alpha, 25-dihydroxy-20-epi-Vitamin D3', '1 alpha,25-Dihydroxycholecalciferol', '1 alpha,25-Dihydroxyvitamin D3', '1,25 Dihydroxycholecalciferol', '1,25(OH)2D3', '1,25-Dihydroxyvitamin D3', 'Bocatriol', 'Calcitriol KyraMed', 'D3, 1,25-Dihydroxyvitamin', 'D3, 1,25-dihydroxy-20-epi-Vitamin', 'Decostriol', 'KyraMed, Calcitriol', 'Rocaltrol', 'Silkis', 'Tirocal', '1 alpha,25 Dihydroxyvitamin D3', '1,25 Dihydroxyvitamin D3', '1,25 dihydroxy 20 epi Vitamin D3', '1,25-Dihydroxycholecalciferol', '1,25-dihydroxy-20-epi-Vitamin D3', '20-epi-1alpha,25-dihydroxycholecaliferol', 'MC-1288', 'MC1288', 'Sitriol', 'Soltriol']",D002117,exact_heading,Calcitriol,0.0
dr:D00130,Diflunisal,chebi:39669,pubchem:7847198,3059,['Diflunisal'],"['ApoDiflunisal', 'Dolocid', 'Novo Diflunisal', 'Nu Diflunisal', 'Apo Diflunisal', 'Apo-Diflunisal', 'Diflunisal', 'Novo-Diflunisal', 'NuDiflunisal', 'NovoDiflunisal', 'Nu-Diflunisal', 'Dolobid', 'Dolobis', 'MK 647', 'MK-647', 'MK647']",D004061,exact_heading,Diflunisal,0.0
dr:D00131,Disulfiram,chebi:4659,pubchem:7847199,3117,['Disulfiram'],"['Dicupral', 'Disulfiram', 'Tetraethylthioperoxydicarbonic Diamide, ((H2N)C(S))2S2', 'Tetraethylthiuram Disulfide', 'Antabuse', 'Esperal', 'Alcophobin', 'Antabus', 'Anticol', 'Bis(diethylthiocarbamoyl) Disulfide', 'Disulfide, Tetraethylthiuram', 'Teturam']",D004221,exact_heading,Disulfiram,0.0
dr:D00132,Ketoprofen,chebi:6128,pubchem:7847200,3825,['Ketoprofen'],"['Alrheumum', 'Alrheumat', 'Benzoylhydratropic Acid', 'Ketoprofen', 'Orudis', 'RP, 19,583', 'RP-19583', '19,583 RP', '2-(3-Benzoylphenyl)propionic Acid', 'RP19583', 'Profenid', 'RP 19583']",D007660,exact_heading,Ketoprofen,0.0
dr:D00136,Haloperidol,chebi:5613,pubchem:7847204,3559,['Haloperidol'],"['Haldol', 'Haloperidol']",D006220,exact_heading,Haloperidol,0.0
dr:D00138,Scopolamine,"chebi:16794,chebi:182414",pubchem:7847206,153311,['Scopolamine'],"['Boro Scopol', 'Scopace', 'Scopoderm TTS', 'Scopolamine', 'Scopolamine Hydrobromide', 'Travacalm HO', 'Vorigeno', 'Kwells', 'Scoburen', 'Boro-Scopol', 'Isopto Hyoscine', 'Scopolamine Cooper', 'Transderm Scop', 'Transderm V', 'Hyoscine', 'Transderm-V']",D012601,exact_heading,Scopolamine,0.0
dr:D00141,Indomethacin,chebi:49662,pubchem:7847209,3715,['Indomethacin'],"['Amuno', 'Indocid', 'Indocin', 'Indomet 140', 'Indomethacin Hydrochloride', 'Osmosin', 'Indometacin', 'Indomethacin', 'Metindol']",D007213,exact_heading,Indomethacin,0.0
dr:D00142,Methotrexate,chebi:44185,pubchem:7847210,126941,['Methotrexate'],"['Hydrate, Methotrexate', 'Methotrexate, (DL)-Isomer', 'Methotrexate, Disodium Salt', 'Methotrexate', 'Methotrexate Sodium', 'Methotrexate, (D)-Isomer', 'Mexate', 'Sodium, Methotrexate', 'Amethopterin', 'Dicesium Salt Methotrexate', 'Methotrexate Hydrate', 'Methotrexate, Dicesium Salt', 'Methotrexate, Sodium Salt']",D008727,exact_heading,Methotrexate,0.0
dr:D00146,Corticotropin,chebi:3892,pubchem:7847214,N/A,[],[],N/A,failed,N/A,0.0
dr:D00147,Hyoscyamine,chebi:17486,pubchem:7847215,154417,['Hyoscyamine'],"['Atropine Sulfate, 3(S)-endo-Isomer', 'Anaspaz', 'Atropine, 3(S)-endo-Isomer', 'Cytospaz', 'Hyoscyamine Hydrobromide', 'Hyoscyamine Sulfate', 'Hyoscyamine Sulfate Anhydrous', 'Hyoscyamine', 'Hyoscyamine Hydrochloride']",D064692,exact_heading,Hyoscyamine,0.0
dr:D00150,Angiotensin II,N/A,pubchem:7847218,N/A,[],[],D000804,exact_name,Angiotensin II,0.0
dr:D00151,Mefenamic acid,chebi:6717,pubchem:7847219,4044,['Mefenamic Acid'],"['Apo-Mefenamic', 'Parkemed', 'Ponmel', 'Dysman', 'Mefac', 'Mefenamic Acid', 'Nu Mefenamic', 'Nu-Mefenamic', 'Ponalgic', 'Ponstan', 'Ponsyl', 'Contraflam', 'Coslan', 'Mefacit', 'Mefic', 'PMS-Mefenamic Acid', 'Ponalar', 'Acid, Mefenamic', 'Apo Mefenamic', 'Mefenaminic Acid', 'PMS Mefenamic Acid', 'Pinalgesic', 'Ponstan Forte', 'Ponstel', 'Pontal']",D008528,exact_heading,Mefenamic Acid,0.0
dr:D00152,Phloroglucinol,chebi:16204,pubchem:7847220,359,['Phloroglucinol'],"['Spassirex', '1,3,5-Benzenetriol', 'Phloroglucinol', 'Spasfon-Lyoc', 'Benzene-1,3,5-triol']",D010696,exact_heading,Phloroglucinol,0.0
dr:D00153,Testolactone,chebi:9460,pubchem:7847221,13769,['Testolactone'],"['1-Dehydrotestolactone', 'Teslac', 'delta(1)-Testolactone', '1 Dehydrotestolactone', 'Testolactone']",D013738,exact_heading,Testolactone,0.0
dr:D00155,Pentostatin,chebi:27834,pubchem:7847223,439693,['Pentostatin'],"['CI-825', 'NSC-218321', 'NSC218321', 'Pentostatin', 'NSC 218321', 'Nipent', ""2' Deoxycoformycin"", 'CI 825', 'CI825', 'Co-vidarabine', 'Deoxycoformycin', ""2'-Deoxycoformycin"", 'Imidazo(4,5-d)(1,3)diazepin-8-ol, 3-(2-deoxy-beta-D-erythro-pentofuranosyl)-3,4,7,8-tetrahydro-, (R)-']",D015649,exact_heading,Pentostatin,0.0
dr:D00156,Glycyrrhetinic acid,chebi:30853,pubchem:7847224,10114,['Glycyrrhetinic Acid'],"['Acid, Glycyrrhetinic', 'Glycyrrhetinic Acid', 'Po 12', 'Acid, Rhetinic', 'Acid, Uralenic', 'Arthrodont', 'Glyciram', 'Glycyram', 'Jintan', 'Uralenic Acid', '12, Po', 'Acid, Glycyrrhetic', 'Enoxolone', 'Glycyrrhetic Acid', 'Rhetinic Acid']",D006034,exact_heading,Glycyrrhetinic Acid,0.0
dr:D00158,Tolmetin sodium,chebi:72014,pubchem:7847226,23677829,[],[],N/A,failed,N/A,0.0
dr:D00160,Aminocaproic acid,chebi:16586,pubchem:7847228,564,['Aminocaproic Acid'],"['6 Aminocaproic Acid', '6-Aminocaproic Acid', 'CY116', 'Hexalense', 'epsilon Aminocaproic Acid', 'Capramol', 'Caprocid', 'Epsamon', 'Hemocaprol', 'epsilon-Aminocaproic Acid', '6 Aminohexanoic Acid', 'Amicar', 'Aminocaproic Acid', 'CY 116', 'CY-116', 'Capralense', 'Caproamin', 'Caprolest', '6-Aminohexanoic Acid', 'Epsikapron']",D015119,exact_heading,Aminocaproic Acid,0.0
dr:D00161,Mercaptopurine,chebi:31822,pubchem:7847229,2724350,['Mercaptopurine'],"['6H-Purine-6-thione, 1,7-dihydro-', 'BW 57-323H', 'Leupurin', 'Mercaptopurine', 'Purinethol', '6-Mercaptopurine', '6-Thiopurine', 'Mercaptopurina Wellcome', 'Purimethol', '6 Mercaptopurine', '6-Thiohypoxanthine', 'BW 57 323H', 'BW 57323H', 'Mecaptopurine Anhydrous', '1,7-Dihydro-6H-purine-6-thione', '6 Mercaptopurine Monohydrate', '6 Thiohypoxanthine', '6 Thiopurine', '6-Mercaptopurine Monohydrate', 'Puri-Nethol']",D015122,exact_heading,Mercaptopurine,0.0
dr:D00163,Chenodiol,chebi:16755,pubchem:7847231,10133,['Chenodeoxycholic Acid'],"['Acid, Gallodesoxycholic', 'Chenodeoxycholate, Sodium', 'Chenofalk', 'Henohol', 'Acid, Chenodeoxycholic', 'Chenix', 'Chenodeoxycholate', 'Chenodeoxycholic Acid', 'Quenobilan', 'Quenocol', 'Acid, Chenique', 'Chenic Acid', 'Chenophalk', 'Gallodesoxycholic Acid', 'Sodium Chenodeoxycholate', 'Acid, Chenic', 'Chenique Acid', 'Chenodiol']",D002635,exact_heading,Chenodeoxycholic Acid,0.0
dr:D00164,Retinol palmitate,chebi:17616,pubchem:7847232,5280531,['retinol palmitate'],"['Chocola A', 'retinyl palmitate', 'retinol palmitate', 'vitamin A palmitate']",C014794,exact_heading,retinol palmitate,0.0
dr:D00165,Hydrocortisone acetate,chebi:17609,pubchem:7847233,5744,['hydrocortisone acetate'],"['Cortifoam', 'hydrocortisone 21-acetate', 'hydrocortisone acetate, (11alpha)-isomer', 'hydrocortisone acetate, monoammonium salt, (11beta)-isomer', 'Colifoam', 'Epifoam', 'cortisol 21-acetate', 'hydrocortisone acetate, (11beta)-isomer', 'hydrocortisone acetate', 'hydrocortisone acetate, (11beta,17alpha)-isomer', 'hydrocortisone acetate, sodium salt']",C021650,exact_heading,hydrocortisone acetate,0.0
dr:D00169,Meclofenamate sodium,chebi:76232,pubchem:7847237,23663959,['Meclofenamic Acid'],"['Meclofenamate Sodium', 'Meclofenamate, Sodium', 'Meclofenamic Acid', 'Sodium Meclofenamate', 'Meclofenamate', 'Meclofenamate Sodium Anhydrous', 'Meclofenamate Sodium Monohydrate', 'Benzoic acid, 2-((2,6-dichloro-3-methylphenyl)amino)-, monosodium salt, monohydrate', 'Meclomen']",D008469,exact_heading,Meclofenamic Acid,0.0
dr:D00176,Protirelin,chebi:35940,pubchem:7847244,638678,['Thyrotropin-Releasing Hormone'],"['Hydrate, Proterelin Tartrate', 'Prem, TRH', 'Protirelin', 'TRH Ferring', 'Thyrotropin-Releasing Hormone Tartrate', 'Abbott 38579', 'Proterelin Tartrate', 'Proterelin Tartrate Hydrate', 'Tartrate Hydrate, Proterelin', 'Thypinone', 'Thyroliberin', 'Thyrotropin Releasing Hormone', 'Thyrotropin Releasing Hormone Tartrate', 'Thyrotropin-Releasing Hormone', 'Abbott38579', 'Protirelin Tartrate (1:1)', 'Relefact TRH', 'Stimu-TSH', 'TRH Prem', 'Thyroliberin TRH Merck', 'Thyrotropin Releasing Factor', 'Thyrotropin-Releasing Factor', 'Abbott-38579', 'Antepan', 'Stimu TSH', 'StimuTSH', 'TRH, Relefact']",D013973,exact_heading,Thyrotropin-Releasing Hormone,0.0
dr:D00180,Alprostadil,chebi:15544,pubchem:7847248,5280723,['Alprostadil'],"['Minprog', 'PGE1alpha', 'Muse', 'Prostaglandin E1alpha', 'Prostin VR', 'Sugiran', 'Vasaprostan', 'Edex', 'Prostavasin', 'Prostine VR', 'Alprostadil', 'Caverject', 'Lipo PGE1', 'Lipo-PGE1', 'PGE1', 'Prostaglandin E1', 'Viridal']",D000527,exact_heading,Alprostadil,0.0
