kegg_id,drug_name,drug_concept,gene_names,gene_concepts
dr:D00130,Diflunisal,chemical_mesh_d004061,['PTGS2'],['gene_5743']
dr:D00131,Disulfiram,chemical_mesh_d004221,"['ALDH2', 'ALDH1B1', 'ALDH3A2']","['gene_217', 'gene_219', 'gene_224']"
dr:D00132,Ketoprofen,chemical_mesh_d007660,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00136,Haloperidol,chemical_mesh_d006220,['DRD2'],['gene_1813']
dr:D00138,Scopolamine,chemical_mesh_d012601,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00141,Indomethacin,chemical_mesh_d007213,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00142,Methotrexate,chemical_mesh_d008727,"['DHFR', 'DHFR2']","['gene_1719', 'gene_200895']"
dr:D00147,Hyoscyamine,chemical_mesh_d064692,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00151,Mefenamic Acid,chemical_mesh_d008528,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00152,Phloroglucinol,chemical_mesh_d010696,['COMT'],['gene_1312']
dr:D00153,Testolactone,chemical_mesh_d013738,['CYP19A1'],['gene_1588']
dr:D00155,Pentostatin,chemical_mesh_d015649,['ADA'],['gene_100']
dr:D00156,Glycyrrhetinic Acid,chemical_mesh_d006034,['HSD11B1'],['gene_3290']
dr:D00160,Aminocaproic Acid,chemical_mesh_d015119,['PLG'],['gene_5340']
dr:D00161,Mercaptopurine,chemical_mesh_d015122,['HPRT1'],['gene_3251']
dr:D00163,Chenodeoxycholic Acid,chemical_mesh_d002635,['NR1H4'],['gene_9971']
dr:D00164,retinol palmitate,chemical_mesh_c014794,"['RARA', 'RARB', 'RARG']","['gene_5914', 'gene_5915', 'gene_5916']"
dr:D00165,hydrocortisone acetate,chemical_mesh_c021650,['NR3C1'],['gene_2908']
dr:D00169,Meclofenamic Acid,chemical_mesh_d008469,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00180,Alprostadil,chemical_mesh_d000527,['PTGER1'],['gene_5731']
dr:D00181,argatroban,chemical_mesh_c031942,['F2'],['gene_2147']
dr:D00182,Norethindrone,chemical_mesh_d009640,['PGR'],['gene_5241']
dr:D00184,Cyclosporine,chemical_mesh_d016572,"['PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'CHP1']","['gene_5530', 'gene_5532', 'gene_5533', 'gene_5534', 'gene_5535', 'gene_11261']"
dr:D00185,Estriol,chemical_mesh_d004964,"['ESR1', 'ESR2']","['gene_2099', 'gene_2100']"
dr:D00187,Ergocalciferols,chemical_mesh_d004872,['VDR'],['gene_7421']
dr:D00188,Cholecalciferol,chemical_mesh_d002762,['VDR'],['gene_7421']
dr:D00193,dexpanthenol,chemical_mesh_c007288,['CHRM3'],['gene_1131']
dr:D00196,Physostigmine,chemical_mesh_d010830,['ACHE'],['gene_43']
dr:D00197,Reserpine,chemical_mesh_d012110,"['SLC18A1', 'SLC18A2']","['gene_6570', 'gene_6571']"
dr:D00216,Acarbose,chemical_mesh_d020909,"['GAA', 'GANC', 'MGAM', 'AMY2A', 'AMY2B']","['gene_2548', 'gene_2595', 'gene_8972', 'gene_279', 'gene_280']"
dr:D00217,Acetaminophen,chemical_mesh_d000082,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00218,Acetazolamide,chemical_mesh_d000086,"['CA1', 'CA2', 'CA3', 'CA4', 'CA5A', 'CA5B', 'CA6', 'CA7', 'CA8', 'CA9', 'CA12', 'CA13', 'CA14']","['gene_759', 'gene_760', 'gene_761', 'gene_762', 'gene_763', 'gene_11238', 'gene_765', 'gene_766', 'gene_767', 'gene_768', 'gene_771', 'gene_377677', 'gene_23632']"
dr:D00219,Acetohexamide,chemical_mesh_d000092,['ABCC8'],['gene_6833']
dr:D00224,Allopurinol,chemical_mesh_d000493,['XDH'],['gene_7498']
dr:D00225,Alprazolam,chemical_mesh_d000525,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00227,Aminophylline,chemical_mesh_d000628,"['ADORA1', 'ADORA2B', 'PDE10A', 'PDE7B', 'PDE11A', 'PDE1A', 'PDE1C', 'PDE2A', 'PDE3A', 'PDE3B', 'PDE4A', 'PDE4B', 'PDE4C', 'PDE4D', 'PDE7A', 'PDE8A', 'PDE1B', 'PDE8B']","['gene_134', 'gene_136', 'gene_10846', 'gene_27115', 'gene_50940', 'gene_5136', 'gene_5137', 'gene_5138', 'gene_5139', 'gene_5140', 'gene_5141', 'gene_5142', 'gene_5143', 'gene_5144', 'gene_5150', 'gene_5151', 'gene_5153', 'gene_8622']"
dr:D00228,Amoxapine,chemical_mesh_d000657,"['SLC6A4', 'SLC6A2']","['gene_6532', 'gene_6530']"
dr:D00231,Amrinone,chemical_mesh_d000676,"['PDE3A', 'PDE3B']","['gene_5139', 'gene_5140']"
dr:D00232,octotropine methylbromide,chemical_mesh_c100237,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00234,Astemizole,chemical_mesh_d016589,['HRH1'],['gene_3269']
dr:D00235,Atenolol,chemical_mesh_d001262,['ADRB1'],['gene_153']
dr:D00241,Baclofen,chemical_mesh_d001418,"['GABBR1', 'GABBR2']","['gene_2550', 'gene_9568']"
dr:D00244,Betamethasone,chemical_mesh_d001623,['NR3C1'],['gene_2908']
dr:D00246,Budesonide,chemical_mesh_d019819,['NR3C1'],['gene_2908']
dr:D00247,Bumetanide,chemical_mesh_d002034,"['SLC12A1', 'SLC12A2', 'SLC12A4']","['gene_6557', 'gene_6558', 'gene_6560']"
dr:D00250,Capsaicin,chemical_mesh_d002211,['TRPV1'],['gene_7442']
dr:D00252,Carbamazepine,chemical_mesh_d002220,"['SCN1A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SCN10A', 'SCN11A']","['gene_6323', 'gene_6326', 'gene_6328', 'gene_6329', 'gene_6331', 'gene_6334', 'gene_6335', 'gene_6336', 'gene_11280']"
dr:D00267,Chlordiazepoxide,chemical_mesh_d002707,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00269,Chlorotrianisene,chemical_mesh_d002741,"['ESR1', 'ESR2']","['gene_2099', 'gene_2100']"
dr:D00270,Chlorpromazine,chemical_mesh_d002746,"['HTR2A', 'HTR2B', 'HTR2C', 'HRH1', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'DRD2', 'CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_3356', 'gene_3357', 'gene_3358', 'gene_3269', 'gene_150', 'gene_151', 'gene_152', 'gene_1813', 'gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00271,Chlorpropamide,chemical_mesh_d002747,"['ABCC8', 'KCNJ11']","['gene_6833', 'gene_3767']"
dr:D00272,Chlorthalidone,chemical_mesh_d002752,"['SLC12A3', 'SLC12A1']","['gene_6559', 'gene_6557']"
dr:D00274,Cisapride,chemical_mesh_d020117,"['HTR4', 'HTR3A', 'HTR2A']","['gene_3360', 'gene_3359', 'gene_3356']"
dr:D00279,Clofibrate,chemical_mesh_d002994,['PPARA'],['gene_5465']
dr:D00280,Clonazepam,chemical_mesh_d002998,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00281,Clonidine,chemical_mesh_d003000,"['ADRA2A', 'ADRA2B', 'ADRA2C']","['gene_150', 'gene_151', 'gene_152']"
dr:D00283,Clozapine,chemical_mesh_d003024,"['HTR2A', 'HTR2C', 'HTR3A', 'HTR3B', 'HTR3C', 'HTR3D', 'HTR3E', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'DRD4']","['gene_3356', 'gene_3358', 'gene_3359', 'gene_9177', 'gene_170572', 'gene_200909', 'gene_285242', 'gene_150', 'gene_151', 'gene_152', 'gene_1815']"
dr:D00289,Danazol,chemical_mesh_d003613,"['AR', 'PGR', 'ESR1']","['gene_367', 'gene_5241', 'gene_2099']"
dr:D00292,Dexamethasone,chemical_mesh_d003907,['NR3C1'],['gene_2908']
dr:D00293,Diazepam,chemical_mesh_d003975,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00294,Diazoxide,chemical_mesh_d003981,"['ABCC8', 'KCNJ11']","['gene_6833', 'gene_3767']"
dr:D00295,Cimetidine,chemical_mesh_d002927,['HRH2'],['gene_3274']
dr:D00297,Digitoxin,chemical_mesh_d004074,"['ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4']","['gene_476', 'gene_477', 'gene_478', 'gene_480']"
dr:D00298,Digoxin,chemical_mesh_d004077,"['ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4']","['gene_476', 'gene_477', 'gene_478', 'gene_480']"
dr:D00299,Dihydrotachysterol,chemical_mesh_d004097,['VDR'],['gene_7421']
dr:D00300,Diphenhydramine,chemical_mesh_d004155,['HRH1'],['gene_3269']
dr:D00302,Dipyridamole,chemical_mesh_d004176,"['PDE5A', 'PDE4A']","['gene_8654', 'gene_5141']"
dr:D00303,Disopyramide,chemical_mesh_d004206,"['SCN1A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SCN10A', 'SCN11A']","['gene_6323', 'gene_6326', 'gene_6328', 'gene_6329', 'gene_6331', 'gene_6334', 'gene_6335', 'gene_6336', 'gene_11280']"
dr:D00304,Valproic Acid,chemical_mesh_d014635,"['ABAT', 'ALDH5A1', 'GAD1', 'GAD2', 'CACNA1I', 'CACNA1H', 'CACNA1G']","['gene_18', 'gene_7915', 'gene_2571', 'gene_2572', 'gene_8911', 'gene_8912', 'gene_8913']"
dr:D00306,Dronabinol,chemical_mesh_d013759,"['CNR1', 'CNR2']","['gene_1268', 'gene_1269']"
dr:D00308,Droperidol,chemical_mesh_d004329,"['ADRA1A', 'ADRA1B', 'ADRA1D', 'DRD2']","['gene_148', 'gene_147', 'gene_146', 'gene_1813']"
dr:D00311,Estazolam,chemical_mesh_d004949,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00312,estrone sulfate,chemical_mesh_c017296,"['ESR1', 'ESR2']","['gene_2099', 'gene_2100']"
dr:D00313,Ethacrynic Acid,chemical_mesh_d004976,"['SLC12A1', 'SLC12A2']","['gene_6557', 'gene_6558']"
dr:D00315,Etodolac,chemical_mesh_d017308,['PTGS2'],['gene_5743']
dr:D00316,Etretinate,chemical_mesh_d005050,"['RARA', 'RARB', 'RARG', 'RXRA', 'RXRB', 'RXRG']","['gene_5914', 'gene_5915', 'gene_5916', 'gene_6256', 'gene_6257', 'gene_6258']"
dr:D00318,Famotidine,chemical_mesh_d015738,['HRH2'],['gene_3274']
dr:D00319,Felodipine,chemical_mesh_d015736,"['CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S']","['gene_775', 'gene_776', 'gene_778', 'gene_779']"
dr:D00320,Fentanyl,chemical_mesh_d005283,['OPRM1'],['gene_4988']
dr:D00321,Finasteride,chemical_mesh_d018120,['SRD5A2'],['gene_6716']
dr:D00324,flunisolide,chemical_mesh_c007734,['NR3C1'],['gene_2908']
dr:D00325,Fluocinonide,chemical_mesh_d005447,['NR3C1'],['gene_2908']
dr:D00326,Fluoxetine,chemical_mesh_d005473,['SLC6A4'],['gene_6532']
dr:D00327,Fluoxymesterone,chemical_mesh_d005474,['AR'],['gene_367']
dr:D00328,Flurandrenolone,chemical_mesh_d005478,['NR3C1'],['gene_2908']
dr:D00329,Flurazepam,chemical_mesh_d005479,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00330,Flurbiprofen,chemical_mesh_d005480,"['PTGS1', 'PTGS2']","['gene_5742', 'gene_5743']"
dr:D00331,Furosemide,chemical_mesh_d005665,"['SLC12A1', 'SLC12A2']","['gene_6557', 'gene_6558']"
dr:D00334,Gemfibrozil,chemical_mesh_d015248,['PPARA'],['gene_5465']
dr:D00335,Glipizide,chemical_mesh_d005913,['ABCC8'],['gene_6833']
dr:D00336,Glyburide,chemical_mesh_d005905,"['ABCC8', 'KCNJ11']","['gene_6833', 'gene_3767']"
dr:D00338,halazepam,chemical_mesh_c010175,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00340,Hydrochlorothiazide,chemical_mesh_d006852,['SLC12A3'],['gene_6559']
dr:D00341,Hydroxyurea,chemical_mesh_d006918,['RRM2'],['gene_6241']
dr:D00345,Indapamide,chemical_mesh_d007190,['SLC12A3'],['gene_6559']
dr:D00348,Isotretinoin,chemical_mesh_d015474,"['RARA', 'RARB', 'RARG']","['gene_5914', 'gene_5915', 'gene_5916']"
dr:D00349,Isradipine,chemical_mesh_d017275,"['CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S']","['gene_775', 'gene_776', 'gene_778', 'gene_779']"
dr:D00355,Lansoprazole,chemical_mesh_d064747,"['ATP4A', 'ATP4B']","['gene_495', 'gene_496']"
dr:D00357,Losartan,chemical_mesh_d019808,['AGTR1'],['gene_185']
dr:D00358,Lidocaine,chemical_mesh_d008012,"['SCN1A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SCN10A', 'SCN11A']","['gene_6323', 'gene_6326', 'gene_6328', 'gene_6329', 'gene_6331', 'gene_6334', 'gene_6335', 'gene_6336', 'gene_11280']"
dr:D00359,Lovastatin,chemical_mesh_d008148,['HMGCR'],['gene_3156']
dr:D00362,Lisinopril,chemical_mesh_d017706,['ACE'],['gene_1636']
dr:D00364,Loratadine,chemical_mesh_d017336,['HRH1'],['gene_3269']
dr:D00365,Lorazepam,chemical_mesh_d008140,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00367,Mazindol,chemical_mesh_d008454,"['SLC6A2', 'SLC6A3', 'SLC6A4']","['gene_6530', 'gene_6531', 'gene_6532']"
dr:D00370,Temazepam,chemical_mesh_d013693,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00371,Theophylline,chemical_mesh_d013806,"['ADORA1', 'ADORA2B', 'PDE10A', 'PDE7B', 'PDE11A', 'PDE1A', 'PDE1C', 'PDE2A', 'PDE3A', 'PDE3B', 'PDE4A', 'PDE4B', 'PDE4C', 'PDE4D', 'PDE7A', 'PDE8A', 'PDE1B', 'PDE8B']","['gene_134', 'gene_136', 'gene_10846', 'gene_27115', 'gene_50940', 'gene_5136', 'gene_5137', 'gene_5138', 'gene_5139', 'gene_5140', 'gene_5141', 'gene_5142', 'gene_5143', 'gene_5144', 'gene_5150', 'gene_5151', 'gene_5153', 'gene_8622']"
dr:D00373,Thioridazine,chemical_mesh_d013881,['DRD2'],['gene_1813']
dr:D00374,Thiothixene,chemical_mesh_d013888,"['DRD2', 'DRD3']","['gene_1813', 'gene_1814']"
dr:D00375,Mephenytoin,chemical_mesh_d008617,"['SCN1A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN8A', 'SCN9A', 'SCN10A', 'SCN11A']","['gene_6323', 'gene_6326', 'gene_6328', 'gene_6329', 'gene_6331', 'gene_6334', 'gene_6335', 'gene_6336', 'gene_11280']"
dr:D00376,Meprobamate,chemical_mesh_d008620,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00378,Timolol,chemical_mesh_d013999,"['ADRB1', 'ADRB2']","['gene_153', 'gene_154']"
dr:D00379,Tolazamide,chemical_mesh_d014042,"['ABCC8', 'KCNJ11']","['gene_6833', 'gene_3767']"
dr:D00380,Tolbutamide,chemical_mesh_d014044,"['ABCC8', 'KCNJ11']","['gene_6833', 'gene_3767']"
dr:D00383,trandolapril,chemical_mesh_c052035,['ACE'],['gene_1636']
dr:D00385,Triamcinolone,chemical_mesh_d014221,['NR3C1'],['gene_2908']
dr:D00386,Triamterene,chemical_mesh_d014223,"['SCNN1A', 'SCNN1B', 'SCNN1G', 'NR3C2']","['gene_6337', 'gene_6338', 'gene_6340', 'gene_4306']"
dr:D00387,Triazolam,chemical_mesh_d014229,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']","['gene_2554', 'gene_2555', 'gene_2556', 'gene_2557', 'gene_2558', 'gene_2559', 'gene_2560', 'gene_2561', 'gene_2562', 'gene_2563', 'gene_2564', 'gene_2565', 'gene_2566', 'gene_2567', 'gene_2568', 'gene_55879']"
dr:D00389,Methandrostenolone,chemical_mesh_d008696,['AR'],['gene_367']
dr:D00390,Triflupromazine,chemical_mesh_d014273,['DRD2'],['gene_1813']
dr:D00394,Trimipramine,chemical_mesh_d014299,"['SLC6A2', 'SLC6A4']","['gene_6530', 'gene_6532']"
dr:D00397,Tropicamide,chemical_mesh_d014331,"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5']","['gene_1128', 'gene_1129', 'gene_1131', 'gene_1132', 'gene_1133']"
dr:D00401,Methimazole,chemical_mesh_d008713,['TPO'],['gene_7173']
dr:D00403,Methotrimeprazine,chemical_mesh_d008728,['DRD2'],['gene_1813']
dr:D00404,methsuximide,chemical_mesh_c100286,"['CACNA1I', 'CACNA1H', 'CACNA1G']","['gene_8911', 'gene_8912', 'gene_8913']"
dr:D00405,Methyldopa,chemical_mesh_d008750,"['ADRA2A', 'ADRA2B', 'ADRA2C']","['gene_150', 'gene_151', 'gene_152']"
dr:D00407,Methylprednisolone,chemical_mesh_d008775,['NR3C1'],['gene_2908']
dr:D00408,Methyltestosterone,chemical_mesh_d008777,['AR'],['gene_367']
dr:D00410,Metyrapone,chemical_mesh_d008797,['CYP11B1'],['gene_1584']
dr:D00411,zafirlukast,chemical_mesh_c062735,['CYSLTR1'],['gene_10800']
dr:D00414,zileuton,chemical_mesh_c063449,['ALOX5'],['gene_240']
dr:D00415,zolmitriptan,chemical_mesh_c089750,"['HTR1B', 'HTR1D']","['gene_3351', 'gene_3352']"
